d1_1_ghi_annual_kwh,d1_2_temp_annual_c,d1_3_ghi_cv_seasonal,d1_4_sunshine_hours,d4_1_lcoe_cny_kwh,d4_2_pbt_years,d4_3_npv_positive,d4_npv_cny_kwp,d4_annual_revenue_cny_kwp,mc_n_samples,mc_elapsed_s,mc_yield_mean,mc_yield_std,mc_yield_p05,mc_yield_p50,mc_yield_p95,d5_1_yield_cv,d5_2_pbt_ci95_width,d5_2_pbt_p025,d5_2_pbt_p975,d5_3_prob_pbt_le_15yr,mc_lcoe_mean,mc_lcoe_std,mc_lcoe_p05,mc_lcoe_p95,sobol_n_samples,sobol_elapsed_s,sobol_yield_S1_ghi_factor,sobol_yield_ST_ghi_factor,sobol_yield_S1_module_efficiency,sobol_yield_ST_module_efficiency,sobol_yield_S1_system_losses,sobol_yield_ST_system_losses,sobol_yield_S1_pv_cost,sobol_yield_ST_pv_cost,sobol_yield_S1_elec_price_factor,sobol_yield_ST_elec_price_factor,sobol_pbt_S1_ghi_factor,sobol_pbt_ST_ghi_factor,sobol_pbt_S1_module_efficiency,sobol_pbt_ST_module_efficiency,sobol_pbt_S1_system_losses,sobol_pbt_ST_system_losses,sobol_pbt_S1_pv_cost,sobol_pbt_ST_pv_cost,sobol_pbt_S1_elec_price_factor,sobol_pbt_ST_elec_price_factor,d5_4_interaction_ratio_yield,d5_4_interaction_ratio_pbt,d5_5_dominant_factor_yield,d5_5_dominant_S1_yield,d5_5_dominant_factor_pbt,d5_5_dominant_S1_pbt,method,specific_yield_kwh_kwp,energy_per_m2_kwh,city,name_en,name_cn,climate_zone,d3_total_generation_gwh,d3_self_sufficiency_ratio,total_elapsed_s,sobol_yield_S1_annual_degradation,sobol_yield_ST_annual_degradation,sobol_pbt_S1_annual_degradation,sobol_pbt_ST_annual_degradation
1424.3,4.7,0.3702,3355.0,0.2209,4.9,True,4428.0,642.3,10000.0,0.2,1175.9,91.1,1029.7,1173.4,1329.0,0.0775,3.24,4.23,7.47,1.0,0.2496,0.0316,0.2027,0.3055,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.3017,0.3109,0.0919,0.0952,0.0195,0.0205,0.4806,0.4917,0.0913,0.0952,0.0061,0.0282,ghi_factor,0.7249,pv_cost,0.4806,simplified,1259.4,251.9,harbin,Harbin,哈尔滨,severe_cold,1715.25,0.6948,0.7,0.0,0.0,0.0,0.0
1525.0,5.7,0.3669,3408.0,0.207,4.49,True,5115.0,698.8,10000.0,0.2,1259.0,97.5,1102.5,1256.4,1423.0,0.0775,2.94,3.86,6.8,1.0,0.2331,0.0295,0.1893,0.2854,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.3017,0.3108,0.0919,0.0952,0.0195,0.0205,0.4808,0.4917,0.0913,0.0951,0.0061,0.0277,ghi_factor,0.7249,pv_cost,0.4808,simplified,1343.9,268.8,changchun,Changchun,长春,severe_cold,420.95,0.8369,0.7,0.0,0.0,0.0,0.0
1523.1,9.4,0.3476,3341.0,0.2098,4.46,True,5164.0,702.8,10000.0,0.2,1257.5,88.0,1116.2,1254.7,1404.8,0.07,2.78,3.82,6.61,1.0,0.2347,0.0286,0.1919,0.2854,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.237,0.1016,0.1049,0.0217,0.0226,0.5326,0.5424,0.1011,0.1049,0.0055,0.0244,ghi_factor,0.6474,pv_cost,0.5326,simplified,1326.1,265.2,shenyang,Shenyang,沈阳,severe_cold,325.66,0.8595,0.7,0.0,0.0,0.0,0.0
1578.1,12.9,0.2987,3403.0,0.2049,4.74,True,4680.0,663.1,10000.0,0.2,1302.9,91.2,1156.5,1300.0,1455.5,0.07,2.93,4.01,6.94,1.0,0.2288,0.0279,0.187,0.2782,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2371,0.1016,0.105,0.0217,0.0226,0.5325,0.5424,0.1011,0.1049,0.0055,0.0246,ghi_factor,0.6474,pv_cost,0.5325,simplified,1357.9,271.6,beijing,Beijing,北京,cold,646.29,0.9843,0.7,0.0,0.0,0.0,0.0
1588.8,14.0,0.306,3363.0,0.2042,4.19,True,5679.0,745.2,10000.0,0.2,1311.7,91.8,1164.4,1308.9,1465.4,0.07,2.85,3.45,6.3,1.0,0.2272,0.0277,0.1858,0.2763,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.203,0.21,0.0897,0.093,0.0191,0.02,0.47,0.481,0.2029,0.2102,0.0055,0.0292,ghi_factor,0.6474,pv_cost,0.47,simplified,1362.3,272.5,jinan,Jinan,济南,cold,700.34,0.9794,0.7,0.0,0.0,0.0,0.0
1378.5,19.0,0.2649,3035.0,0.2394,4.59,True,4926.0,683.3,10000.0,0.2,1138.1,106.8,967.4,1135.3,1316.6,0.0938,3.08,3.71,6.79,1.0,0.2656,0.0367,0.2119,0.3304,4096.0,0.5,0.8229,0.8261,0.1428,0.1457,0.0309,0.0316,0.0,0.0,0.0,0.0,0.4367,0.4498,0.0735,0.0767,0.0155,0.0165,0.3833,0.3962,0.0728,0.0766,0.0068,0.0336,ghi_factor,0.8229,ghi_factor,0.4367,simplified,1162.1,232.4,changsha,Changsha,长沙,hscw,420.49,0.7557,0.7,0.0,0.0,0.0,0.0
1503.8,18.6,0.314,3099.0,0.2192,4.42,True,5231.0,708.3,10000.0,0.2,1241.5,116.5,1055.3,1238.5,1436.3,0.0938,2.97,3.58,6.55,1.0,0.2434,0.0336,0.1943,0.3029,4096.0,0.5,0.8229,0.8261,0.1428,0.1457,0.0309,0.0316,0.0,0.0,0.0,0.0,0.4367,0.4498,0.0735,0.0767,0.0155,0.0165,0.3833,0.3962,0.0728,0.0766,0.0068,0.0334,ghi_factor,0.8229,ghi_factor,0.4367,simplified,1269.4,253.9,wuhan,Wuhan,武汉,hscw,186.45,0.3931,0.8,0.0,0.0,0.0,0.0
1456.1,16.3,0.2432,3123.0,0.2246,4.54,True,5024.0,691.3,10000.0,0.2,1202.2,102.7,1038.1,1199.3,1374.3,0.0854,3.26,3.64,6.9,1.0,0.251,0.0332,0.2022,0.3097,4096.0,0.5,0.7813,0.7844,0.1771,0.1799,0.0383,0.039,0.0,0.0,0.0,0.0,0.3347,0.3465,0.0743,0.0776,0.0157,0.0167,0.3882,0.401,0.1677,0.1754,0.0065,0.0361,ghi_factor,0.7813,pv_cost,0.3882,simplified,1238.9,247.8,nanjing,Nanjing,南京,hscw,185.44,0.6369,0.8,0.0,0.0,0.0,0.0
1292.4,17.8,0.3653,2967.0,0.2543,5.78,True,3295.0,549.2,10000.0,0.2,1067.0,118.8,877.0,1064.6,1266.1,0.1114,4.31,4.57,8.88,1.0,0.2825,0.043,0.2205,0.3592,4096.0,0.5,0.8778,0.8813,0.0975,0.1005,0.0211,0.0218,0.0,0.0,0.0,0.0,0.5503,0.5679,0.058,0.0613,0.0121,0.0132,0.3001,0.3157,0.0571,0.0612,0.0072,0.0409,ghi_factor,0.8778,ghi_factor,0.5503,simplified,1094.0,218.8,chengdu,Chengdu,成都,hscw,782.1,0.8122,0.7,0.0,0.0,0.0,0.0
1560.9,22.7,0.2102,3375.0,0.2142,3.52,True,7358.0,883.3,10000.0,0.2,1288.7,99.8,1128.4,1286.0,1456.5,0.0775,2.36,2.78,5.14,1.0,0.2362,0.0299,0.1917,0.289,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.2691,0.2782,0.082,0.0852,0.0174,0.0183,0.4295,0.4409,0.1853,0.1925,0.0061,0.0313,ghi_factor,0.7249,pv_cost,0.4295,simplified,1298.9,259.8,shenzhen,Shenzhen,深圳,hsww,428.12,0.3003,0.7,0.0,0.0,0.0,0.0
