alpha,object,fdsi_score,rank
0.0,Harbin,0.5538,19
0.0,Changchun,0.5681,15
0.0,Shenyang,0.5519,21
0.0,Dalian,0.5522,20
0.0,Hohhot,0.6245,8
0.0,Tangshan,0.5483,23
0.0,Urumqi,0.5487,22
0.0,Beijing,0.6233,9
0.0,Tianjin,0.5555,17
0.0,Jinan,0.5422,25
0.0,Xian,0.6045,11
0.0,Taiyuan,0.5317,27
0.0,Shijiazhuang,0.6336,7
0.0,Zhengzhou,0.5547,18
0.0,Qingdao,0.5456,24
0.0,Lanzhou,0.6563,3
0.0,Yinchuan,0.7289,2
0.0,Xining,0.6397,6
0.0,Wuxi,0.5368,26
0.0,Suzhou,0.39,37
0.0,Changsha,0.5581,16
0.0,Wuhan,0.5832,12
0.0,Nanjing,0.5093,31
0.0,Chengdu,0.3253,38
0.0,Hangzhou,0.407,36
0.0,Hefei,0.5198,30
0.0,Nanchang,0.5242,29
0.0,Ningbo,0.4468,33
0.0,Shanghai,0.4455,34
0.0,Chongqing,0.1754,41
0.0,Taipei,0.2991,40
0.0,Shenzhen,0.5721,14
0.0,Guangzhou,0.5806,13
0.0,Xiamen,0.6214,10
0.0,Fuzhou,0.4164,35
0.0,Nanning,0.5257,28
0.0,Haikou,0.6467,4
0.0,Hong Kong,0.4727,32
0.0,Kunming,0.6403,5
0.0,Guiyang,0.31,39
0.0,Lhasa,0.7589,1
0.1,Harbin,0.556,17
0.1,Changchun,0.5685,15
0.1,Shenyang,0.5518,20
0.1,Dalian,0.5512,21
0.1,Hohhot,0.6249,8
0.1,Tangshan,0.5468,22
0.1,Urumqi,0.5452,23
0.1,Beijing,0.6242,9
0.1,Tianjin,0.5541,18
0.1,Jinan,0.5445,24
0.1,Xian,0.6028,11
0.1,Taiyuan,0.5303,27
0.1,Shijiazhuang,0.6345,7
0.1,Zhengzhou,0.5535,19
0.1,Qingdao,0.543,25
0.1,Lanzhou,0.6547,3
0.1,Yinchuan,0.7276,2
0.1,Xining,0.6387,6
0.1,Wuxi,0.5361,26
0.1,Suzhou,0.387,37
0.1,Changsha,0.5588,16
0.1,Wuhan,0.5835,12
0.1,Nanjing,0.511,31
0.1,Chengdu,0.3244,38
0.1,Hangzhou,0.4069,36
0.1,Hefei,0.5188,30
0.1,Nanchang,0.5229,29
0.1,Ningbo,0.4463,33
0.1,Shanghai,0.4445,34
0.1,Chongqing,0.1754,41
0.1,Taipei,0.2978,40
0.1,Shenzhen,0.5724,14
0.1,Guangzhou,0.5823,13
0.1,Xiamen,0.6223,10
0.1,Fuzhou,0.4144,35
0.1,Nanning,0.5243,28
0.1,Haikou,0.6448,4
0.1,Hong Kong,0.4696,32
0.1,Kunming,0.6404,5
0.1,Guiyang,0.3124,39
0.1,Lhasa,0.7555,1
0.2,Harbin,0.5583,17
0.2,Changchun,0.5689,15
0.2,Shenyang,0.5517,20
0.2,Dalian,0.5502,21
0.2,Hohhot,0.6252,8
0.2,Tangshan,0.5453,23
0.2,Urumqi,0.5417,24
0.2,Beijing,0.6252,9
0.2,Tianjin,0.5526,18
0.2,Jinan,0.5469,22
0.2,Xian,0.6011,11
0.2,Taiyuan,0.5289,27
0.2,Shijiazhuang,0.6354,7
0.2,Zhengzhou,0.5523,19
0.2,Qingdao,0.5405,25
0.2,Lanzhou,0.653,3
0.2,Yinchuan,0.7263,2
0.2,Xining,0.6376,6
0.2,Wuxi,0.5353,26
0.2,Suzhou,0.384,37
0.2,Changsha,0.5594,16
0.2,Wuhan,0.5839,13
0.2,Nanjing,0.5127,31
0.2,Chengdu,0.3235,38
0.2,Hangzhou,0.4069,36
0.2,Hefei,0.5178,30
0.2,Nanchang,0.5217,29
0.2,Ningbo,0.4457,33
0.2,Shanghai,0.4436,34
0.2,Chongqing,0.1754,41
0.2,Taipei,0.2965,40
0.2,Shenzhen,0.5727,14
0.2,Guangzhou,0.584,12
0.2,Xiamen,0.6233,10
0.2,Fuzhou,0.4123,35
0.2,Nanning,0.5229,28
0.2,Haikou,0.6428,4
0.2,Hong Kong,0.4666,32
0.2,Kunming,0.6405,5
0.2,Guiyang,0.3147,39
0.2,Lhasa,0.7522,1
0.3,Harbin,0.5605,16
0.3,Changchun,0.5693,15
0.3,Shenyang,0.5516,18
0.3,Dalian,0.5492,22
0.3,Hohhot,0.6255,9
0.3,Tangshan,0.5438,23
0.3,Urumqi,0.5381,24
0.3,Beijing,0.6261,8
0.3,Tianjin,0.5512,19
0.3,Jinan,0.5493,21
0.3,Xian,0.5995,11
0.3,Taiyuan,0.5275,27
0.3,Shijiazhuang,0.6364,7
0.3,Zhengzhou,0.5512,20
0.3,Qingdao,0.5379,25
0.3,Lanzhou,0.6513,3
0.3,Yinchuan,0.725,2
0.3,Xining,0.6366,6
0.3,Wuxi,0.5345,26
0.3,Suzhou,0.381,37
0.3,Changsha,0.56,17
0.3,Wuhan,0.5842,13
0.3,Nanjing,0.5145,31
0.3,Chengdu,0.3225,38
0.3,Hangzhou,0.4069,36
0.3,Hefei,0.5168,30
0.3,Nanchang,0.5204,29
0.3,Ningbo,0.4451,33
0.3,Shanghai,0.4427,34
0.3,Chongqing,0.1753,41
0.3,Taipei,0.2952,40
0.3,Shenzhen,0.573,14
0.3,Guangzhou,0.5857,12
0.3,Xiamen,0.6242,10
0.3,Fuzhou,0.4102,35
0.3,Nanning,0.5215,28
0.3,Haikou,0.6408,4
0.3,Hong Kong,0.4636,32
0.3,Kunming,0.6406,5
0.3,Guiyang,0.3171,39
0.3,Lhasa,0.7488,1
0.4,Harbin,0.5627,16
0.4,Changchun,0.5697,15
0.4,Shenyang,0.5515,19
0.4,Dalian,0.5482,22
0.4,Hohhot,0.6258,9
0.4,Tangshan,0.5423,23
0.4,Urumqi,0.5346,25
0.4,Beijing,0.627,8
0.4,Tianjin,0.5498,21
0.4,Jinan,0.5516,18
0.4,Xian,0.5978,11
0.4,Taiyuan,0.5261,27
0.4,Shijiazhuang,0.6373,6
0.4,Zhengzhou,0.55,20
0.4,Qingdao,0.5353,24
0.4,Lanzhou,0.6496,3
0.4,Yinchuan,0.7237,2
0.4,Xining,0.6356,7
0.4,Wuxi,0.5338,26
0.4,Suzhou,0.378,37
0.4,Changsha,0.5606,17
0.4,Wuhan,0.5846,13
0.4,Nanjing,0.5162,30
0.4,Chengdu,0.3216,38
0.4,Hangzhou,0.4068,36
