city,name_en,name_cn,climate_zone,status,n_buildings_analyzed,city_typology,dominant_type,dominant_pct,elapsed_s,n_buildings,study_area_km2,d2_1_height_mean,d2_1_height_median,d2_1_height_std,d2_2_building_density,d2_3_roof_area_mean,d2_3_roof_area_median,d2_3_roof_area_total_m2,d2_4_compactness_mean,d2_4_compactness_median,d2_5_far,d3_1_roof_utilization_mean,d3_2_shading_factor_mean,d3_3_effective_area_mean_m2,d3_4_total_deployable_m2,d3_4_total_deployable_mw
beijing,Beijing,北京,cold,OK,3928,mid_rise_dominant,mid_rise,0.924,0,3928,430.915,18.47,18.0,5.94,0.0082,905.0,798.6,3554933.0,2.149,1.983,0.052,0.649,0.998,605.8,2379748.0,475.95
changchun,Changchun,长春,severe_cold,OK,2936,mid_rise_dominant,mid_rise,0.854,0,2936,34.983,19.25,18.0,7.0,0.0679,809.1,684.4,2375527.0,2.303,2.148,0.435,0.645,0.983,533.4,1566126.0,313.23
changsha,Changsha,长沙,hscw,OK,3242,mid_high_dominant,mid_high,0.961,0,3242,432.319,22.01,21.0,8.55,0.0063,835.5,685.9,2708735.0,2.015,1.857,0.046,0.639,0.999,558.0,1809194.0,361.84
chengdu,Chengdu,成都,hscw,OK,8708,mixed,mid_rise,0.473,0,8708,85.24,18.46,18.0,14.75,0.0734,718.8,525.7,6259663.0,1.92,1.718,0.616,0.643,0.769,410.5,3574504.0,714.9
chongqing,Chongqing,重庆,hscw,OK,1929,unknown,unknown,0.0,0,1929,23.813,18.58,12.0,31.11,0.0654,807.5,498.3,1557712.0,1.831,1.543,0.661,0.635,0.704,424.7,819282.0,163.86
dalian,Dalian,大连,severe_cold,OK,5465,unknown,unknown,0.0,0,5465,328.781,16.89,18.0,9.18,0.011,660.0,448.3,3606661.0,1.787,1.605,0.087,0.645,0.792,387.7,2118580.0,423.72
fuzhou,Fuzhou,福州,hsww,OK,1568,unknown,unknown,0.0,0,1568,25.462,13.3,12.0,8.98,0.0335,544.8,248.4,854228.0,1.812,1.522,0.273,0.631,0.687,315.7,495042.0,99.01
guangzhou,Guangzhou,广州,hsww,OK,1605,high_rise_dominant,high_rise,0.86,0,1605,110.305,38.18,33.0,19.94,0.0144,991.5,695.3,1591326.0,2.068,1.831,0.203,0.642,0.986,665.2,1067595.0,213.52
guiyang,Guiyang,贵阳,mild,OK,707,mixed,mid_high,0.468,0,707,55.09,16.49,15.0,16.29,0.0206,1601.7,815.7,1132431.0,1.817,1.528,0.139,0.645,0.812,926.4,654945.0,130.99
haikou,Haikou,海口,hsww,OK,1068,unknown,unknown,0.0,0,1068,123.104,17.26,18.0,13.07,0.01,1147.6,439.3,1225686.0,1.636,1.411,0.096,0.638,0.739,710.1,758431.0,151.69
hangzhou,Hangzhou,杭州,hscw,OK,6219,unknown,unknown,0.0,0,6219,135.451,35.77,18.0,46.33,0.0422,919.6,611.0,5719079.0,1.802,1.647,0.624,0.656,0.858,553.9,3444722.0,688.94
harbin,Harbin,哈尔滨,severe_cold,OK,6577,mid_high_dominant,mid_high,0.989,0,6577,191.48,21.26,21.0,6.57,0.052,1513.3,891.0,9953172.0,2.423,2.078,0.374,0.658,0.998,1035.4,6809812.0,1361.96
hefei,Hefei,合肥,hscw,OK,1218,unknown,unknown,0.0,0,1218,44.595,19.59,18.0,11.93,0.0276,1010.9,620.9,1231254.0,1.968,1.727,0.248,0.647,0.796,606.5,738761.0,147.75
hohhot,Hohhot,呼和浩特,severe_cold,OK,990,unknown,unknown,0.0,0,990,62.147,21.29,18.0,8.03,0.019,1192.2,779.8,1180257.0,2.08,1.966,0.174,0.652,0.85,738.9,731551.0,146.31
jinan,Jinan,济南,cold,OK,4806,mid_rise_dominant,mid_rise,0.986,0,4806,93.338,18.48,18.0,4.86,0.0415,805.1,745.8,3869469.0,1.887,1.827,0.257,0.65,0.999,534.8,2570460.0,514.09
kunming,Kunming,昆明,mild,OK,2642,mid_high_dominant,mid_high,0.86,0,2642,278.358,27.42,24.0,16.36,0.0072,758.3,642.2,2003319.0,1.906,1.685,0.074,0.639,0.984,496.4,1311385.0,262.28
lanzhou,Lanzhou,兰州,cold,OK,13051,unknown,unknown,0.0,0,13051,274.141,21.08,18.0,10.93,0.043,903.7,656.5,11793809.0,2.04,1.83,0.38,0.652,0.836,543.3,7090122.0,1418.02
lhasa,Lhasa,拉萨,mild,OK,2418,unknown,unknown,0.0,0,2418,35.273,16.19,18.0,7.95,0.0461,672.7,416.5,1626481.0,2.437,2.064,0.374,0.643,0.772,398.7,963957.0,192.79
nanchang,Nanchang,南昌,hscw,OK,2195,unknown,unknown,0.0,0,2195,54.267,17.77,18.0,7.67,0.0304,752.4,551.8,1651452.0,1.992,1.806,0.243,0.648,0.809,443.3,973144.0,194.63
nanjing,Nanjing,南京,hscw,OK,1670,mid_high_dominant,mid_high,0.966,0,1670,38.702,23.15,21.0,15.1,0.0295,684.6,608.2,1143200.0,1.892,1.78,0.252,0.63,0.999,448.2,748425.0,149.68
