city_en,city_cn,climate_zone,is_primary,status,n_buildings_total,n_residential,residential_ratio,n_with_height,height_ratio,coverage_proxy,completeness_score,area_mean_m2,area_median_m2,area_std_m2,height_mean_m,height_median_m,height_max_m,top_building_types,elapsed_seconds,error
Harbin,哈尔滨,severe_cold,True,OK,6843,447.0,0.065,127.0,0.019,0.8,0.419,1606.0,907.7,3472.5,34.9,21.0,336.0,"{'yes': 6130, 'apartments': 272, 'university': 135, 'residential': 127, 'dormitory': 47, 'hospital': 39, 'school': 21, 'commercial': 17, 'warehouse': 10, 'industrial': 9}",0.5,
Beijing,北京,cold,True,OK,19485,3928.0,0.202,1705.0,0.088,0.9,0.517,1200.5,752.3,2994.4,17.1,12.0,405.0,"{'yes': 12737, 'residential': 2036, 'apartments': 1322, 'bungalow': 749, 'school': 520, 'house': 379, 'university': 361, 'commercial': 316, 'office': 193, 'dormitory': 191}",1.2,
Changsha,长沙,hscw,True,OK,7717,3242.0,0.42,1028.0,0.133,0.8,0.524,1188.3,671.5,2670.0,31.1,21.0,100.0,"{'yes': 3687, 'residential': 2278, 'apartments': 628, 'commercial': 257, 'house': 219, 'university': 214, 'dormitory': 117, 'school': 76, 'industrial': 69, 'office': 59}",0.5,
Shenzhen,深圳,hsww,True,OK,8935,5361.0,0.6,2825.0,0.316,0.8,0.615,1040.6,466.1,3781.7,56.0,36.0,599.1,"{'apartments': 4146, 'yes': 2160, 'residential': 1112, 'commercial': 480, 'school': 186, 'industrial': 115, 'roof': 106, 'retail': 98, 'construction': 93, 'hospital': 69}",0.6,
Kunming,昆明,mild,True,OK,9035,2642.0,0.292,1007.0,0.111,0.8,0.492,1138.1,583.1,5416.0,33.0,21.0,350.0,"{'yes': 4181, 'apartments': 2160, 'commercial': 468, 'residential': 407, 'roof': 281, 'transportation': 218, 'office': 206, 'retail': 161, 'industrial': 114, 'toilets': 91}",0.5,
Changchun,长春,severe_cold,False,OK,6063,2936.0,0.484,1331.0,0.22,0.8,0.563,1079.8,674.8,2347.3,17.4,15.0,105.0,"{'yes': 2663, 'residential': 2353, 'apartments': 279, 'university': 160, 'house': 118, 'terrace': 99, 'dormitory': 87, 'school': 84, 'commercial': 75, 'hospital': 36}",0.4,
Shenyang,沈阳,severe_cold,False,FAILED,0,,,,,,,,,,,,,,,"Nominatim did not geocode query '沈河区, 沈阳市, 中国' to a geometry of type (Multi)Polygon."
Xian,西安,cold,False,OK,18823,254.0,0.013,118.0,0.006,0.9,0.455,374.0,176.1,2027.8,18.4,12.0,90.0,"{'yes': 18369, 'university': 108, 'residential': 98, 'apartments': 93, 'dormitory': 60, 'commercial': 33, 'school': 18, 'hospital': 12, 'college': 8, 'industrial': 7}",1.1,
Jinan,济南,cold,False,OK,7741,4806.0,0.621,292.0,0.038,0.8,0.535,1163.5,770.4,2339.7,42.2,18.0,428.0,"{'apartments': 3725, 'yes': 2064, 'residential': 842, 'commercial': 433, 'dormitory': 220, 'school': 147, 'warehouse': 51, 'retail': 44, 'university': 42, 'industrial': 34}",0.5,
Wuhan,武汉,hscw,False,OK,4502,1757.0,0.39,560.0,0.124,0.7,0.465,1031.3,574.9,2387.2,29.5,15.0,476.0,"{'yes': 2033, 'apartments': 1064, 'residential': 322, 'house': 225, 'university': 124, 'dormitory': 118, 'retail': 104, 'commercial': 94, 'school': 69, 'office': 54}",7.7,
Nanjing,南京,hscw,False,OK,3292,1670.0,0.507,331.0,0.101,0.7,0.482,929.7,608.3,1700.7,53.6,21.0,450.0,"{'apartments': 1369, 'yes': 1266, 'residential': 180, 'university': 106, 'school': 89, 'house': 66, 'dormitory': 53, 'commercial': 41, 'hospital': 28, 'office': 25}",7.2,
Guangzhou,广州,hsww,False,OK,4012,1605.0,0.4,736.0,0.183,0.7,0.485,1756.9,924.6,3301.8,55.4,30.0,440.2,"{'yes': 1448, 'apartments': 890, 'residential': 458, 'commercial': 331, 'university': 201, 'dormitory': 193, 'industrial': 74, 'school': 71, 'office': 45, 'detached': 44}",11.0,
Xiamen,厦门,hsww,False,OK,2891,901.0,0.312,81.0,0.028,0.7,0.421,1069.5,321.3,3161.3,43.3,18.0,339.9,"{'yes': 1526, 'house': 344, 'apartments': 305, 'detached': 214, 'commercial': 169, 'school': 145, 'retail': 54, 'residential': 38, 'hospital': 34, 'hotel': 14}",6.5,
Guiyang,贵阳,mild,False,OK,2897,495.0,0.171,1242.0,0.429,0.7,0.513,2396.8,838.7,7428.7,5.3,3.0,335.0,"{'yes': 2146, 'apartments': 417, 'commercial': 67, 'school': 48, 'detached': 48, 'industrial': 41, 'residential': 25, 'hospital': 17, 'construction': 13, 'retail': 10}",3.6,
Chengdu,成都,mild,False,OK,10304,4111.0,0.399,872.0,0.085,0.9,0.555,780.4,534.1,1258.5,31.7,15.0,468.0,"{'yes': 4597, 'apartments': 3588, 'bungalow': 334, 'residential': 258, 'commercial': 243, 'school': 190, 'terrace': 188, 'construction': 175, 'university': 100, 'kindergarten': 88}",21.3,
