city,name_en,year,yield_kwh_kwp,revenue_cny_kwp,om_cost_cny_kwp,net_cash_cny_kwp,pv_net_cash_cny_kwp,cumulative_npv_cny_kwp
harbin,Harbin,1,1259.4,642.0,30.0,612.0,578.0,-2422.0
harbin,Harbin,2,1253.1,639.0,30.0,609.0,542.0,-1880.0
harbin,Harbin,3,1246.8,636.0,30.0,606.0,509.0,-1372.0
harbin,Harbin,4,1240.6,633.0,30.0,603.0,477.0,-894.0
harbin,Harbin,5,1234.4,630.0,30.0,600.0,448.0,-446.0
harbin,Harbin,6,1228.2,626.0,30.0,596.0,420.0,-26.0
harbin,Harbin,7,1222.1,623.0,30.0,593.0,395.0,369.0
harbin,Harbin,8,1216.0,620.0,30.0,590.0,370.0,739.0
harbin,Harbin,9,1209.9,617.0,30.0,587.0,347.0,1087.0
harbin,Harbin,10,1203.8,614.0,30.0,584.0,326.0,1413.0
harbin,Harbin,11,1197.8,611.0,30.0,581.0,306.0,1719.0
harbin,Harbin,12,1191.8,608.0,30.0,578.0,287.0,2006.0
harbin,Harbin,13,1185.9,605.0,30.0,575.0,269.0,2275.0
harbin,Harbin,14,1180.0,602.0,30.0,572.0,253.0,2528.0
harbin,Harbin,15,1174.1,599.0,30.0,569.0,237.0,2766.0
harbin,Harbin,16,1168.2,596.0,30.0,566.0,223.0,2988.0
harbin,Harbin,17,1162.3,593.0,30.0,563.0,209.0,3197.0
harbin,Harbin,18,1156.5,590.0,30.0,560.0,196.0,3393.0
harbin,Harbin,19,1150.7,587.0,30.0,557.0,184.0,3577.0
harbin,Harbin,20,1145.0,584.0,30.0,554.0,173.0,3750.0
harbin,Harbin,21,1139.3,581.0,30.0,551.0,162.0,3912.0
harbin,Harbin,22,1133.6,578.0,30.0,548.0,152.0,4064.0
harbin,Harbin,23,1127.9,575.0,30.0,545.0,143.0,4207.0
harbin,Harbin,24,1122.3,572.0,30.0,542.0,134.0,4341.0
harbin,Harbin,25,1116.7,569.0,30.0,539.0,126.0,4467.0
beijing,Beijing,1,1357.9,663.0,30.0,633.0,597.0,-2403.0
beijing,Beijing,2,1351.1,660.0,30.0,630.0,560.0,-1842.0
beijing,Beijing,3,1344.4,656.0,30.0,626.0,526.0,-1316.0
beijing,Beijing,4,1337.6,653.0,30.0,623.0,494.0,-823.0
beijing,Beijing,5,1330.9,650.0,30.0,620.0,463.0,-359.0
beijing,Beijing,6,1324.3,647.0,30.0,617.0,435.0,75.0
beijing,Beijing,7,1317.7,643.0,30.0,613.0,408.0,483.0
beijing,Beijing,8,1311.1,640.0,30.0,610.0,383.0,866.0
beijing,Beijing,9,1304.5,637.0,30.0,607.0,359.0,1225.0
beijing,Beijing,10,1298.0,634.0,30.0,604.0,337.0,1562.0
beijing,Beijing,11,1291.5,631.0,30.0,601.0,316.0,1879.0
beijing,Beijing,12,1285.1,627.0,30.0,597.0,297.0,2176.0
beijing,Beijing,13,1278.6,624.0,30.0,594.0,279.0,2454.0
beijing,Beijing,14,1272.2,621.0,30.0,591.0,262.0,2716.0
beijing,Beijing,15,1265.9,618.0,30.0,588.0,245.0,2961.0
beijing,Beijing,16,1259.5,615.0,30.0,585.0,230.0,3192.0
beijing,Beijing,17,1253.2,612.0,30.0,582.0,216.0,3408.0
beijing,Beijing,18,1247.0,609.0,30.0,579.0,203.0,3611.0
beijing,Beijing,19,1240.7,606.0,30.0,576.0,190.0,3801.0
beijing,Beijing,20,1234.5,603.0,30.0,573.0,179.0,3980.0
beijing,Beijing,21,1228.4,600.0,30.0,570.0,168.0,4147.0
beijing,Beijing,22,1222.2,597.0,30.0,567.0,157.0,4304.0
beijing,Beijing,23,1216.1,594.0,30.0,564.0,148.0,4452.0
beijing,Beijing,24,1210.0,591.0,30.0,561.0,139.0,4591.0
beijing,Beijing,25,1204.0,588.0,30.0,558.0,130.0,4721.0
changsha,Changsha,1,1162.1,683.0,30.0,653.0,616.0,-2384.0
changsha,Changsha,2,1156.3,680.0,30.0,650.0,578.0,-1805.0
changsha,Changsha,3,1150.5,676.0,30.0,646.0,543.0,-1262.0
changsha,Changsha,4,1144.8,673.0,30.0,643.0,509.0,-753.0
changsha,Changsha,5,1139.0,670.0,30.0,640.0,478.0,-275.0
changsha,Changsha,6,1133.3,666.0,30.0,636.0,449.0,174.0
changsha,Changsha,7,1127.7,663.0,30.0,633.0,421.0,595.0
changsha,Changsha,8,1122.0,660.0,30.0,630.0,395.0,990.0
changsha,Changsha,9,1116.4,656.0,30.0,626.0,371.0,1361.0
changsha,Changsha,10,1110.8,653.0,30.0,623.0,348.0,1709.0
changsha,Changsha,11,1105.3,650.0,30.0,620.0,327.0,2035.0
changsha,Changsha,12,1099.8,647.0,30.0,617.0,306.0,2342.0
changsha,Changsha,13,1094.3,643.0,30.0,613.0,288.0,2629.0
changsha,Changsha,14,1088.8,640.0,30.0,610.0,270.0,2899.0
changsha,Changsha,15,1083.3,637.0,30.0,607.0,253.0,3152.0
changsha,Changsha,16,1077.9,634.0,30.0,604.0,238.0,3390.0
changsha,Changsha,17,1072.5,631.0,30.0,601.0,223.0,3613.0
changsha,Changsha,18,1067.2,627.0,30.0,597.0,209.0,3822.0
changsha,Changsha,19,1061.8,624.0,30.0,594.0,196.0,4019.0
changsha,Changsha,20,1056.5,621.0,30.0,591.0,184.0,4203.0
changsha,Changsha,21,1051.2,618.0,30.0,588.0,173.0,4376.0
changsha,Changsha,22,1046.0,615.0,30.0,585.0,162.0,4539.0
changsha,Changsha,23,1040.8,612.0,30.0,582.0,152.0,4691.0
changsha,Changsha,24,1035.6,609.0,30.0,579.0,143.0,4834.0
changsha,Changsha,25,1030.4,606.0,30.0,576.0,134.0,4968.0
shenzhen,Shenzhen,1,1298.9,883.0,30.0,853.0,805.0,-2195.0
shenzhen,Shenzhen,2,1292.4,879.0,30.0,849.0,755.0,-1440.0
shenzhen,Shenzhen,3,1285.9,874.0,30.0,844.0,709.0,-731.0
shenzhen,Shenzhen,4,1279.5,870.0,30.0,840.0,665.0,-65.0
shenzhen,Shenzhen,5,1273.1,866.0,30.0,836.0,624.0,559.0
shenzhen,Shenzhen,6,1266.8,861.0,30.0,831.0,586.0,1145.0
shenzhen,Shenzhen,7,1260.4,857.0,30.0,827.0,550.0,1695.0
shenzhen,Shenzhen,8,1254.1,853.0,30.0,823.0,516.0,2212.0
shenzhen,Shenzhen,9,1247.8,849.0,30.0,819.0,484.0,2696.0
shenzhen,Shenzhen,10,1241.6,844.0,30.0,814.0,455.0,3151.0
shenzhen,Shenzhen,11,1235.4,840.0,30.0,810.0,427.0,3578.0
shenzhen,Shenzhen,12,1229.2,836.0,30.0,806.0,400.0,3978.0
