city,d5_2_pbt_ci95_width,mc_lcoe_std,sobol_pbt_S1_elec_price_factor,d5_4_interaction_ratio_pbt,d5_1_yield_cv,d5_3_prob_pbt_le_15yr,score_D5_phase3
harbin,3.08,0.0303,0.0913,0.0282,0.0698,1.0,0.616
beijing,2.89,0.0273,0.1011,0.0246,0.0698,1.0,0.7122
changsha,2.73,0.0313,0.0728,0.0336,0.0698,1.0,0.689
shenzhen,2.04,0.0276,0.1853,0.0313,0.0698,1.0,0.6422
kunming,3.01,0.0261,0.1011,0.0248,0.0698,1.0,0.7276
changchun,2.8,0.0283,0.0913,0.0277,0.0698,1.0,0.7212
shenyang,2.74,0.0283,0.1011,0.0244,0.0698,1.0,0.7077
jinan,2.53,0.0271,0.2029,0.0292,0.0698,1.0,0.5334
xian,2.82,0.0272,0.0671,0.0228,0.0698,1.0,0.8084
wuhan,2.63,0.0287,0.0728,0.0334,0.0698,1.0,0.7821
nanjing,2.72,0.0296,0.1677,0.0361,0.0698,1.0,0.5129
guangzhou,2.12,0.0287,0.1678,0.0346,0.0698,1.0,0.6386
xiamen,2.11,0.0259,0.1678,0.0346,0.0698,1.0,0.7226
guiyang,4.15,0.0361,0.0645,0.0399,0.0698,1.0,0.3322
chengdu,3.5,0.0333,0.0571,0.0409,0.0698,1.0,0.5402
