city,name_en,climate_zone,month,ghi_monthly_kwh,generation_kwh_kwp,fraction,demand_kwh_kwp,self_sufficiency
harbin,Harbin,Severe Cold,1,64073.4,56.65414119353045,0.04498502556259365,14.863013698630137,1.0
harbin,Harbin,Severe Cold,2,89466.4,79.10680653245922,0.06281309078327713,13.424657534246576,1.0
harbin,Harbin,Severe Cold,3,131900.8,116.62759501976828,0.09260568129249505,14.863013698630137,1.0
harbin,Harbin,Severe Cold,4,160706.05,142.0973952896922,0.11282943885158979,14.383561643835616,1.0
harbin,Harbin,Severe Cold,5,182140.4,161.0497950576388,0.12787819204195552,14.863013698630137,1.0
harbin,Harbin,Severe Cold,6,163270.3,144.36472278527555,0.11462976241486067,14.383561643835616,1.0
harbin,Harbin,Severe Cold,7,152866.15,135.1653017603468,0.10732515623340225,14.863013698630137,1.0
harbin,Harbin,Severe Cold,8,138350.75,122.33068519433702,0.0971340997255336,14.863013698630137,1.0
harbin,Harbin,Severe Cold,9,130570.75,115.45155565718638,0.09167187204794852,14.383561643835616,1.0
harbin,Harbin,Severe Cold,10,94523.25,83.57810810057492,0.06636343346083445,14.863013698630137,1.0
harbin,Harbin,Severe Cold,11,63638.05,56.269201727720876,0.04467937250096941,14.383561643835616,1.0
harbin,Harbin,Severe Cold,12,52821.0,46.70469168146956,0.037084875084539906,14.863013698630137,1.0
changchun,Changchun,Severe Cold,1,72455.35,63.84919455531295,0.04751037618521686,14.013698630136986,1.0
changchun,Changchun,Severe Cold,2,92819.9,81.7948688910438,0.060863806005687776,12.657534246575343,1.0
changchun,Changchun,Severe Cold,3,143314.95,126.29218029082664,0.09397438819170074,14.013698630136986,1.0
changchun,Changchun,Severe Cold,4,158474.65,139.6512301705136,0.10391489706861641,13.561643835616438,1.0
changchun,Changchun,Severe Cold,5,193096.7,170.16091656846453,0.1266172457537499,14.013698630136986,1.0
changchun,Changchun,Severe Cold,6,183665.6,161.85003077782778,0.1204330908384759,13.561643835616438,1.0
changchun,Changchun,Severe Cold,7,165153.3,145.53659851414648,0.10829421721418742,14.013698630136986,1.0
