city,d5_baseline,d5_equal,d5_pbt_dom,d5_sigma_dom,rank_baseline,rank_equal,rank_pbt_dom,rank_sigma_dom
harbin,0.5304,0.53,0.5243,0.5397,13,13,13,13
changchun,0.6879,0.6872,0.6754,0.7066,10,9,8,10
shenyang,0.6992,0.6967,0.6896,0.7137,7,7,7,9
beijing,0.6908,0.6865,0.6643,0.7307,9,10,10,7
jinan,0.8088,0.8071,0.7973,0.826,4,4,4,4
xian,0.7147,0.7104,0.6904,0.751,6,6,6,6
changsha,0.6053,0.6098,0.6256,0.575,12,12,12,12
wuhan,0.7206,0.72,0.7201,0.7214,5,5,5,8
nanjing,0.6656,0.6669,0.6696,0.6595,11,11,9,11
shenzhen,0.9417,0.9445,0.9583,0.9167,2,2,2,2
guangzhou,0.8816,0.8864,0.9053,0.8461,3,3,3,3
xiamen,0.9796,0.9794,0.9763,0.9846,1,1,1,1
kunming,0.695,0.6877,0.651,0.761,8,8,11,5
guiyang,0.0,0.0,0.0,0.0,15,15,15,15
chengdu,0.2979,0.299,0.3012,0.2928,14,14,14,14
