scenario,scenario_label,city,name_en,climate_zone,province,grid_region,elec_price_eff,carbon_uplift_cny_kwh,d4_lcoe,d4_pbt,d4_npv_positive,D1_score,D2_score,D3_score,D4_score,D5_score,fdsi,rank,suitability
baseline,Baseline (2024),beijing,Beijing,,北京,华北,0.4883,0.0,0.2049,4.74,True,0.5159765012563882,0.6936024580053376,0.7147420668762132,0.3864225249630209,0.39926739926739924,0.5279753706493979,13,High
baseline,Baseline (2024),changchun,Changchun,,吉林,东北,0.52,0.0,0.207,4.49,True,0.38172223686358686,0.4317235192536276,0.6833126223370126,0.40514820672763235,0.41880341880341876,0.4698011259066628,16,Medium
baseline,Baseline (2024),changsha,Changsha,,湖南,华中,0.588,0.0,0.2394,4.59,True,0.4481456520967013,0.6729740518962076,0.612976454439869,0.322146802717835,0.33302808302808307,0.45874676425388716,20,Medium
baseline,Baseline (2024),chengdu,Chengdu,,四川,华中,0.502,0.0,0.2543,5.78,True,0.24578838326602448,0.37507636412568124,0.20843485782510168,0.17645644665958388,0.18345543345543347,0.22381729918780205,37,Low
baseline,Baseline (2024),chongqing,Chongqing,,重庆,华中,0.522,0.0,0.2935,6.45,True,0.0,0.4404480925788872,0.027243589743589595,0.024436090225563888,0.023809523809523867,0.0661337971655353,39,Low
baseline,Baseline (2024),dalian,Dalian,,辽宁,东北,0.5,0.0,0.1995,4.5,True,0.5029614589206254,0.585311175402005,0.40409438122852753,0.4212460672353304,0.4340659340659341,0.4583672702754308,21,Medium
baseline,Baseline (2024),fuzhou,Fuzhou,,福建,华东,0.618,0.0,0.2353,4.28,True,0.38179071218814503,0.45505348852856087,0.12358779431950165,0.36059608926906084,0.3727106227106228,0.3266906881097331,34,Low
baseline,Baseline (2024),guangzhou,Guangzhou,,广东,南方,0.68,0.0,0.2223,3.65,True,0.5969910776883411,0.7049124223463186,0.6394982050469855,0.4493386464798981,0.46123321123321126,0.557815339900448,4,High
baseline,Baseline (2024),guiyang,Guiyang,,贵州,南方,0.468,0.0,0.2727,6.71,True,0.13059873265806635,0.9252842629348046,0.23833128253859964,0.0472512494320763,0.04914529914529921,0.2081960405245761,38,Low
baseline,Baseline (2024),haikou,Haikou,,海南,南方,0.598,0.0,0.1948,3.64,True,0.7059027938409963,0.7837071923568593,0.3366856720515256,0.5127500999204053,0.5271672771672772,0.5517437014479574,5,High
baseline,Baseline (2024),hangzhou,Hangzhou,,浙江,华东,0.538,0.0,0.2566,5.42,True,0.3929512200800065,0.5720899773486734,0.34594216758850893,0.20506613535201018,0.21184371184371187,0.32236885199895543,35,Low
baseline,Baseline (2024),harbin,Harbin,,黑龙江,东北,0.51,0.0,0.2209,4.9,True,0.31686128572140626,0.7723918455224383,0.6627412221924418,0.33503781603030736,0.34645909645909645,0.45743948268164436,22,Medium
baseline,Baseline (2024),hefei,Hefei,,安徽,华东,0.561,0.0,0.2243,4.51,True,0.4430489822792396,0.6632187310771716,0.3289926536877757,0.3639681894422563,0.3763736263736264,0.4115541635023775,30,Low
baseline,Baseline (2024),hohhot,Hohhot,,内蒙古,华北,0.496,0.0,0.1885,4.27,True,0.5232770662207202,0.7678037184058848,0.5399635933172517,0.4678512501152928,0.48168498168498164,0.5347207746233129,10,High
