city,suit_baseline,fdsi_baseline,rank_baseline,suit_cost_reduction,fdsi_cost_reduction,rank_cost_reduction,suit_carbon_pricing,fdsi_carbon_pricing,rank_carbon_pricing,suit_aggressive,fdsi_aggressive,rank_aggressive,delta_grade_cost_reduction,delta_fdsi_cost_reduction,delta_rank_cost_reduction,delta_grade_carbon_pricing,delta_fdsi_carbon_pricing,delta_rank_carbon_pricing,delta_grade_aggressive,delta_fdsi_aggressive,delta_rank_aggressive,name_en,climate_zone,province,grid_region,ef_tco2_mwh
lhasa,High,0.658270416117452,1,High,0.8118209406917305,1,High,0.6639053493569689,1,High,0.8312905324224773,1,0,0.15355052457427854,0,0,0.005634933239516915,0,0,0.17302011630502534,0,Lhasa,,西藏,西藏,0.12
xiamen,High,0.5933531147897304,2,High,0.7560739724992844,2,High,0.6077257270763399,2,High,0.7705416778484995,2,0,0.16272085770955402,0,0,0.014372612286609465,0,0,0.17718856305876907,0,Xiamen,,福建,华东,0.7035
yinchuan,High,0.5643062817075011,3,High,0.7362678859541726,3,High,0.5880496198991884,3,High,0.7600112241458596,3,0,0.1719616042466715,0,0,0.02374333819168728,0,0,0.19570494243835856,0,Yinchuan,,宁夏,西北,0.6671
guangzhou,High,0.547872094442572,4,High,0.721779141336541,5,High,0.556419587364453,7,High,0.7333342870033919,7,0,0.17390704689396896,-1,0,0.00854749292188095,-3,0,0.18546219256081986,-3,Guangzhou,,广东,南方,0.4267
shenzhen,High,0.5448108380420595,5,High,0.7126051595470422,7,High,0.552820377168561,9,High,0.7236223514185136,10,0,0.16779432150498264,-2,0,0.008009539126501486,-4,0,0.17881151337645407,-5,Shenzhen,,广东,南方,0.4267
lanzhou,High,0.5447655472520243,6,High,0.7112393964729244,8,High,0.5650583719659679,4,High,0.7320701749822476,8,0,0.16647384922090014,-2,0,0.020292824713943558,2,0,0.18730462773022327,-2,Lanzhou,,甘肃,西北,0.6671
haikou,High,0.5407513875518722,7,High,0.7012875335724891,12,High,0.5501221134569502,13,High,0.7142989590805222,13,0,0.16053614602061683,-5,0,0.009370725905077926,-6,0,0.17354757152864997,-6,Haikou,,海南,南方,0.4267
kunming,High,0.5395540076159944,8,High,0.7272181274212712,4,High,0.5567440865223623,6,High,0.7496002788343821,4,0,0.18766411980527686,4,0,0.017190078906367923,2,0,0.2100462712183877,4,Kunming,,云南,南方,0.4267
shijiazhuang,High,0.5304106360117967,9,High,0.7057148686848791,10,High,0.555610254044666,8,High,0.7274639732400047,9,0,0.17530423267308237,-1,0,0.025199618032869298,1,0,0.19705333722820795,0,Shijiazhuang,,河北,华北,0.8843
xining,High,0.5291626266474283,10,High,0.7146480763492614,6,High,0.5599971779198145,5,High,0.744216533905677,5,0,0.18548544970183312,4,0,0.030834551272386213,5,0,0.2150539072582487,5,Xining,,青海,西北,0.6671
jinan,High,0.5279809378753478,11,High,0.7040270864929179,11,High,0.5503630892884588,12,High,0.7235917712862703,11,0,0.17604614861757006,0,0,0.02238215141311095,-1,0,0.19561083341092245,0,Jinan,,山东,华北,0.8843
hohhot,High,0.5270796844357898,12,High,0.696321241961749,13,High,0.552279302468659,10,High,0.7179752534542689,12,0,0.16924155752595926,-1,0,0.025199618032869187,2,0,0.19089556901847915,0,Hohhot,,内蒙古,华北,0.8843
beijing,High,0.5228037604000567,13,High,0.7092410963615103,9,High,0.5510110311778958,11,High,0.7337125744737885,6,0,0.18643733596145362,4,0,0.028207270777839133,2,0,0.21090881407373174,7,Beijing,,北京,华北,0.8843
hongkong,High,0.49869434181493677,14,High,0.6296388232673279,23,High,0.5024301344804978,15,High,0.6340076627908742,28,0,0.13094448145239113,-9,0,0.0037357926655610108,-1,0,0.1353133209759374,-14,Hongkong,,香港特别行政区,香港,0.7
nanjing,Medium,0.4825394759589946,15,High,0.6747091483492771,14,High,0.5026421145477266,14,High,0.694811786938009,14,1,0.1921696723902825,1,1,0.020102638588731958,1,1,0.21227231097901444,1,Nanjing,,江苏,华东,0.7035
wuhan,Medium,0.48057285622684875,16,High,0.6677789513628429,15,High,0.4955785153714434,16,High,0.6856971701898019,15,1,0.18720609513599418,1,1,0.015005659144594619,0,1,0.20512431396295316,1,Wuhan,,湖北,华中,0.5257
xian,Medium,0.47115168860230555,17,High,0.6568363682495557,16,Medium,0.49271060703221964,17,High,0.6784903797420754,16,1,0.18568467964725016,1,0,0.021558918429914087,0,1,0.20733869113976983,1,Xian,,陕西,西北,0.6671
