city_key,max_rank_shift_when_removed,max_rank_shift_experienced,name_en,orig_rank
lhasa,0.0,4.0,Lhasa,1
xian,3.0,3.0,Xian,23
chongqing,1.0,3.0,Chongqing,39
yinchuan,1.0,2.0,Yinchuan,2
haikou,2.0,1.0,Haikou,4
wuxi,3.0,1.0,Wuxi,19
nanning,2.0,1.0,Nanning,25
nanchang,2.0,1.0,Nanchang,26
qingdao,4.0,1.0,Qingdao,28
hefei,3.0,1.0,Hefei,29
taiyuan,2.0,1.0,Taiyuan,30
nanjing,1.0,1.0,Nanjing,24
urumqi,1.0,1.0,Urumqi,31
ningbo,1.0,1.0,Ningbo,32
shanghai,1.0,1.0,Shanghai,33
fuzhou,2.0,1.0,Fuzhou,35
hangzhou,1.0,1.0,Hangzhou,34
suzhou,1.0,1.0,Suzhou,36
guiyang,1.0,1.0,Guiyang,37
chengdu,1.0,1.0,Chengdu,38
tangshan,2.0,1.0,Tangshan,27
tianjin,3.0,1.0,Tianjin,21
lanzhou,1.0,1.0,Lanzhou,6
wuhan,2.0,1.0,Wuhan,14
hohhot,1.0,1.0,Hohhot,7
kunming,1.0,1.0,Kunming,8
xining,1.0,1.0,Xining,9
xiamen,1.0,1.0,Xiamen,5
beijing,1.0,1.0,Beijing,10
guangzhou,2.0,1.0,Guangzhou,11
harbin,1.0,1.0,Harbin,15
zhengzhou,2.0,1.0,Zhengzhou,22
shenzhen,1.0,1.0,Shenzhen,12
changsha,2.0,1.0,Changsha,16
shijiazhuang,1.0,1.0,Shijiazhuang,3
jinan,1.0,1.0,Jinan,13
changchun,3.0,1.0,Changchun,20
shenyang,1.0,1.0,Shenyang,18
dalian,1.0,1.0,Dalian,17
