city_key,observed_rank,name_en,boot_rank_mean,boot_rank_p025,boot_rank_p975,boot_rank_ci_width,boot_rank_std,boot_score_mean,boot_score_std,n_bootstrap_appearances,unstable
lhasa,1,Lhasa,1.03,1,2,1,0.17,0.828,0.0131,645,False
yinchuan,2,Yinchuan,1.62,1,2,1,0.49,0.8245,0.0444,644,False
haikou,4,Haikou,2.65,1,4,3,0.98,0.7664,0.0495,623,False
shijiazhuang,3,Shijiazhuang,2.69,1,4,3,0.72,0.7613,0.0446,628,False
xiamen,9,Xiamen,3.56,1,5,4,1.05,0.7459,0.0488,658,False
lanzhou,5,Lanzhou,4.19,2,6,4,1.19,0.7388,0.0484,644,False
hohhot,6,Hohhot,4.82,3,7,4,1.24,0.7304,0.0461,644,False
kunming,7,Kunming,5.48,3,7,4,1.17,0.7222,0.049,641,False
xining,8,Xining,5.96,3,9,6,1.54,0.719,0.051,634,False
beijing,10,Beijing,6.82,4,9,5,1.35,0.7095,0.0455,646,False
guangzhou,11,Guangzhou,7.08,4,10,6,1.47,0.7126,0.048,631,False
shenzhen,14,Shenzhen,8.06,5,11,6,1.47,0.6555,0.0492,643,False
jinan,17,Jinan,8.85,6,12,6,1.6,0.6319,0.0461,644,False
wuhan,12,Wuhan,9.11,6,12,6,1.61,0.6288,0.046,645,False
harbin,13,Harbin,10.3,7,14,7,2.12,0.6164,0.0486,644,False
changsha,15,Changsha,10.52,7,14,7,1.9,0.6107,0.053,602,False
dalian,20,Dalian,11.39,8,15,7,1.8,0.5994,0.0486,658,False
wuxi,23,Wuxi,11.97,8,16,8,2.19,0.5976,0.0519,616,False
shenyang,19,Shenyang,12.72,9,16,7,1.95,0.5921,0.0486,629,False
tianjin,22,Tianjin,13.38,9,17,8,2.16,0.5883,0.0515,628,False
changchun,18,Changchun,13.46,9,17,8,2.1,0.586,0.048,614,False
zhengzhou,21,Zhengzhou,13.98,10,18,8,1.93,0.5822,0.05,647,False
xian,16,Xian,14.1,10,18,8,2.3,0.5885,0.044,617,False
nanjing,30,Nanjing,15.43,11,19,7,1.93,0.5737,0.0495,646,False
nanning,25,Nanning,16.39,12,21,9,2.1,0.5639,0.0524,633,False
qingdao,27,Qingdao,17.13,12,21,9,2.5,0.5607,0.0494,635,False
nanchang,26,Nanchang,17.22,14,21,7,1.95,0.558,0.0514,670,False
tangshan,24,Tangshan,17.55,14,21,7,1.92,0.5572,0.0499,647,False
hefei,28,Hefei,18.65,14,23,9,2.13,0.5484,0.0544,627,False
taiyuan,29,Taiyuan,18.74,15,22,7,1.91,0.5502,0.0545,639,False
urumqi,31,Urumqi,19.98,16,23,7,1.85,0.4956,0.0561,651,False
ningbo,32,Ningbo,20.72,17,24,7,1.89,0.4484,0.0617,632,False
shanghai,33,Shanghai,21.12,18,25,7,1.89,0.4373,0.0544,613,False
hangzhou,35,Hangzhou,22.12,19,26,7,1.86,0.3861,0.0656,635,False
fuzhou,34,Fuzhou,22.22,18,26,8,1.93,0.3908,0.0561,620,False
suzhou,36,Suzhou,23.05,20,26,6,1.83,0.3187,0.0614,618,False
guiyang,37,Guiyang,23.74,20,27,7,1.94,0.2863,0.0395,654,False
chengdu,38,Chengdu,24.34,20,28,8,1.89,0.2217,0.0645,633,False
chongqing,39,Chongqing,24.99,22,28,6,1.83,0.0599,0.0102,658,False
