city,name_en,D1_score,D2_score,D3_score,D4_score,D5_score,fdsi_score,km_cluster,hier_cluster,cluster_name
Lhasa,Lhasa,1.0,0.459,0.636,0.848,0.861,0.7556,0,0,中等综合型
Yinchuan,Yinchuan,0.612,0.798,0.624,0.713,0.929,0.7533,0,0,中等综合型
Shijiazhuang,Shijiazhuang,0.518,0.918,0.547,0.697,0.761,0.6937,0,0,中等综合型
Haikou,Haikou,0.706,0.784,0.337,0.818,0.81,0.6831,0,0,中等综合型
Lanzhou,Lanzhou,0.661,0.563,0.546,0.758,0.827,0.6758,0,0,中等综合型
Hohhot,Hohhot,0.523,0.768,0.54,0.74,0.747,0.6656,0,0,中等综合型
Kunming,Kunming,0.622,0.639,0.717,0.597,0.69,0.6623,0,0,中等综合型
Xining,Xining,0.682,0.648,0.577,0.61,0.743,0.6599,0,0,中等综合型
Xiamen,Xiamen,0.686,0.539,0.726,0.798,0.601,0.6566,0,0,中等综合型
Beijing,Beijing,0.516,0.694,0.715,0.611,0.693,0.6565,0,0,中等综合型
Guangzhou,Guangzhou,0.597,0.705,0.639,0.722,0.566,0.6348,0,0,中等综合型
Wuhan,Wuhan,0.449,0.553,0.666,0.612,0.688,0.6059,0,0,中等综合型
Harbin,Harbin,0.317,0.772,0.663,0.531,0.633,0.5988,0,0,中等综合型
Shenzhen,Shenzhen,0.639,0.397,0.66,0.77,0.581,0.597,0,0,中等综合型
Changsha,Changsha,0.448,0.673,0.613,0.517,0.643,0.5921,0,0,中等综合型
Xian,Xian,0.479,0.217,0.714,0.621,0.785,0.5846,0,0,中等综合型
Jinan,Jinan,0.511,0.529,0.719,0.699,0.5,0.5814,0,0,中等综合型
Changchun,Changchun,0.382,0.432,0.683,0.643,0.695,0.5802,0,0,中等综合型
Shenyang,Shenyang,0.41,0.62,0.48,0.638,0.707,0.5792,0,0,中等综合型
Dalian,Dalian,0.503,0.585,0.404,0.667,0.718,0.5787,0,0,中等综合型
Zhengzhou,Zhengzhou,0.45,0.528,0.419,0.692,0.747,0.5731,0,0,中等综合型
Tianjin,Tianjin,0.531,0.563,0.396,0.637,0.707,0.5707,0,0,中等综合型
Wuxi,Wuxi,0.549,0.64,0.373,0.642,0.657,0.5702,0,0,中等综合型
Tangshan,Tangshan,0.484,0.402,0.472,0.646,0.734,0.5566,0,0,中等综合型
Nanning,Nanning,0.493,0.67,0.31,0.577,0.696,0.555,0,0,中等综合型
Nanchang,Nanchang,0.483,0.55,0.358,0.649,0.704,0.552,0,0,中等综合型
Qingdao,Qingdao,0.569,0.34,0.339,0.773,0.742,0.5486,0,0,中等综合型
Hefei,Hefei,0.443,0.663,0.329,0.581,0.691,0.5482,0,0,中等综合型
Taiyuan,Taiyuan,0.538,0.545,0.397,0.548,0.672,0.5473,0,0,中等综合型
Nanjing,Nanjing,0.527,0.526,0.654,0.575,0.46,0.542,0,0,中等综合型
Urumqi,Urumqi,0.412,0.461,0.28,0.544,0.856,0.5348,0,0,中等综合型
Ningbo,Ningbo,0.405,0.573,0.293,0.509,0.577,0.4748,1,0,盆地低适宜型
Shanghai,Shanghai,0.487,0.26,0.361,0.682,0.528,0.4517,0,0,中等综合型
Fuzhou,Fuzhou,0.382,0.455,0.124,0.579,0.632,0.435,1,0,盆地低适宜型
Hangzhou,Hangzhou,0.393,0.572,0.346,0.328,0.477,0.4328,1,0,盆地低适宜型
Suzhou,Suzhou,0.443,0.261,0.132,0.498,0.577,0.3836,1,0,盆地低适宜型
Guiyang,Guiyang,0.131,0.925,0.238,0.071,0.336,0.3594,1,1,盆地低适宜型
Chengdu,Chengdu,0.246,0.375,0.208,0.279,0.442,0.3225,1,0,盆地低适宜型
Chongqing,Chongqing,0.0,0.44,0.027,0.041,0.302,0.1823,1,1,盆地低适宜型
