city_1,city_2,cz_1,cz_2,D2_1,D2_2,D2_diff,ghi_1,ghi_2,ghi_diff,fdsi_1,fdsi_2,fdsi_diff,D1_1,D1_2,D4_1,D4_2,D5_1,D5_2,rank_1,rank_2
Chongqing,Lhasa,hscw,mild,0.581,0.511,0.07,1122.9,2131.7,1009.0,0.1752349925145734,0.7421526351435656,0.5669,0.524,0.0,0.459,0.027,0.415,0.301,41,1
Shijiazhuang,Chongqing,cold,hscw,0.603,0.581,0.022,1644.5,1122.9,522.0,0.6382212445498286,0.1752349925145734,0.463,0.446,0.524,0.489,0.459,0.635,0.415,5,41
Xining,Chongqing,cold,hscw,0.586,0.581,0.005,1754.8,1122.9,632.0,0.6345153233592646,0.1752349925145734,0.4593,0.509,0.524,0.564,0.459,0.443,0.415,7,41
Yinchuan,Taipei,cold,hscw,0.708,0.703,0.005,1779.1,1401.1,378.0,0.7223757098082292,0.2925817269272065,0.4298,0.445,0.441,0.403,0.463,0.592,0.633,2,40
Chongqing,Guangzhou,hscw,hsww,0.581,0.619,0.038,1122.9,1502.2,379.0,0.1752349925145734,0.5890284604396654,0.4138,0.524,0.402,0.459,0.408,0.415,0.518,41,12
Yinchuan,Chengdu,cold,hscw,0.708,0.683,0.025,1779.1,1292.4,487.0,0.7223757098082292,0.3206500140272879,0.4017,0.445,0.546,0.403,0.514,0.592,0.587,2,39
Harbin,Chongqing,severe_cold,hscw,0.524,0.581,0.057,1424.3,1122.9,301.0,0.5649773172681742,0.1752349925145734,0.3897,0.996,0.524,0.729,0.459,0.773,0.415,16,41
Jinan,Chongqing,cold,hscw,0.588,0.581,0.007,1588.8,1122.9,466.0,0.5540062823874533,0.1752349925145734,0.3788,0.682,0.524,0.633,0.459,0.535,0.415,18,41
Shenyang,Chongqing,severe_cold,hscw,0.616,0.581,0.035,1523.1,1122.9,400.0,0.5514550451974904,0.1752349925145734,0.3762,0.658,0.524,0.629,0.459,0.737,0.415,19,41
Dalian,Chongqing,severe_cold,hscw,0.678,0.581,0.097,1615.7,1122.9,493.0,0.5472305868990813,0.1752349925145734,0.372,0.619,0.524,0.504,0.459,0.639,0.415,22,41
Suzhou,Lhasa,cold,mild,0.586,0.511,0.075,1388.3,2131.7,743.0,0.3750079582701352,0.7421526351435656,0.3671,0.448,0.0,0.556,0.027,0.681,0.301,37,1
Wuxi,Chongqing,cold,hscw,0.671,0.581,0.09,1530.3,1122.9,407.0,0.5329878158243317,0.1752349925145734,0.3578,0.408,0.524,0.517,0.459,0.648,0.415,24,41
Qingdao,Chongqing,cold,hscw,0.504,0.581,0.077,1678.7,1122.9,556.0,0.532736651989759,0.1752349925145734,0.3575,0.38,0.524,0.524,0.459,0.641,0.415,25,41
Shijiazhuang,Taipei,cold,hscw,0.603,0.703,0.1,1644.5,1401.1,243.0,0.6382212445498286,0.2925817269272065,0.3456,0.446,0.441,0.489,0.463,0.635,0.633,5,40
Chongqing,Nanning,hscw,hsww,0.581,0.518,0.063,1122.9,1417.5,295.0,0.1752349925145734,0.5186137525612365,0.3434,0.524,0.38,0.459,0.449,0.415,0.561,41,28
Beijing,Taipei,cold,hscw,0.727,0.703,0.024,1578.1,1401.1,177.0,0.6279143895642323,0.2925817269272065,0.3353,0.513,0.441,0.505,0.463,0.638,0.633,8,40
Hangzhou,Lhasa,hscw,mild,0.422,0.511,0.089,1277.6,2131.7,854.0,0.4068115121274874,0.7421526351435656,0.3353,0.567,0.0,0.626,0.027,0.663,0.301,35,1
Shijiazhuang,Chengdu,cold,hscw,0.603,0.683,0.08,1644.5,1292.4,352.0,0.6382212445498286,0.3206500140272879,0.3176,0.446,0.546,0.489,0.514,0.635,0.587,5,39
Yinchuan,Fuzhou,cold,hsww,0.708,0.624,0.084,1779.1,1402.1,377.0,0.7223757098082292,0.4060509373778737,0.3163,0.445,0.39,0.403,0.259,0.592,0.43,2,36
Xining,Chengdu,cold,hscw,0.586,0.683,0.097,1754.8,1292.4,462.0,0.6345153233592646,0.3206500140272879,0.3139,0.509,0.546,0.564,0.514,0.443,0.587,7,39
