city_1,city_2,climate_zone,D2_1,D2_2,D2_diff,ghi_1,ghi_2,ghi_diff,fdsi_1,fdsi_2,fdsi_diff,D1_1,D1_2,D4_1,D4_2,rank_1,rank_2
Guiyang,Lhasa,mild,0.0,0.511,0.511,1193.9,2131.7,938.0,0.3218401053849994,0.7421526351435656,0.4203,0.328,0.0,0.441,0.027,38,1
Kunming,Guiyang,mild,0.454,0.0,0.454,1650.2,1193.9,456.0,0.6408482124582222,0.3218401053849994,0.319,0.244,0.328,0.229,0.441,4,38
Lanzhou,Suzhou,cold,0.805,0.586,0.219,1755.9,1388.3,368.0,0.6479453564032501,0.3750079582701352,0.2729,0.315,0.448,0.434,0.556,3,37
Hangzhou,Chongqing,hscw,0.422,0.581,0.159,1277.6,1122.9,155.0,0.4068115121274874,0.1752349925145734,0.2316,0.567,0.524,0.626,0.459,35,41
Fuzhou,Haikou,hsww,0.624,0.351,0.273,1402.1,1728.6,326.0,0.4060509373778737,0.6367789618870444,0.2307,0.39,0.44,0.259,0.395,36,6
Nanjing,Taipei,hscw,0.477,0.703,0.226,1456.1,1401.1,55.0,0.5178855340923061,0.2925817269272065,0.2253,0.482,0.441,0.528,0.463,30,40
Hefei,Taipei,hscw,0.53,0.703,0.173,1460.8,1401.1,60.0,0.5147269505050662,0.2925817269272065,0.2221,0.411,0.441,0.477,0.463,31,40
Xian,Suzhou,cold,0.324,0.586,0.262,1581.6,1388.3,193.0,0.5960532545280305,0.3750079582701352,0.221,0.477,0.448,0.511,0.556,11,37
Xiamen,Fuzhou,hsww,0.356,0.624,0.268,1661.1,1402.1,259.0,0.6260596326058684,0.4060509373778737,0.22,0.484,0.39,0.535,0.259,10,36
Nanjing,Chengdu,hscw,0.477,0.683,0.206,1456.1,1292.4,164.0,0.5178855340923061,0.3206500140272879,0.1972,0.482,0.546,0.528,0.514,30,39
Chengdu,Hefei,hscw,0.683,0.53,0.153,1292.4,1460.8,168.0,0.3206500140272879,0.5147269505050662,0.1941,0.546,0.411,0.514,0.477,39,31
Qingdao,Yinchuan,cold,0.504,0.708,0.204,1678.7,1779.1,100.0,0.532736651989759,0.7223757098082292,0.1896,0.38,0.445,0.524,0.403,25,2
Haikou,Hong Kong,hsww,0.351,0.936,0.585,1728.6,1648.5,80.0,0.6367789618870444,0.4575454884926994,0.1792,0.44,0.13,0.395,0.071,6,32
Wuhan,Hangzhou,hscw,0.631,0.422,0.209,1503.8,1277.6,226.0,0.5849700721571381,0.4068115121274874,0.1782,0.501,0.567,0.548,0.626,13,35
Zhengzhou,Yinchuan,cold,0.468,0.708,0.24,1573.4,1779.1,206.0,0.5487709733847469,0.7223757098082292,0.1736,0.635,0.445,0.599,0.403,20,2
Tianjin,Suzhou,cold,0.795,0.586,0.209,1606.1,1388.3,218.0,0.5483364819765838,0.3750079582701352,0.1733,0.521,0.448,0.609,0.556,21,37
Xiamen,Hong Kong,hsww,0.356,0.936,0.58,1661.1,1648.5,13.0,0.6260596326058684,0.4575454884926994,0.1685,0.484,0.13,0.535,0.071,10,32
Shenzhen,Fuzhou,hsww,0.061,0.624,0.563,1560.9,1402.1,159.0,0.5736791073158932,0.4060509373778737,0.1676,0.713,0.39,0.809,0.259,14,36
Changsha,Hangzhou,hscw,0.616,0.422,0.194,1378.5,1277.6,101.0,0.5612464507241642,0.4068115121274874,0.1544,0.528,0.567,0.526,0.626,17,35
Taiyuan,Suzhou,cold,0.738,0.586,0.152,1564.4,1388.3,176.0,0.5246581956009044,0.3750079582701352,0.1497,0.593,0.448,0.558,0.556,27,37
