city_1,city_2,cz_1,cz_2,ghi_1,ghi_2,ghi_diff,fdsi_1,fdsi_2,fdsi_diff,rank_1,rank_2,rank_diff,D2_1,D2_2,D4_1,D4_2,D5_1,D5_2
Harbin,Taipei,severe_cold,hscw,1424.3,1401.1,23.0,0.5649773172681742,0.2925817269272065,0.2724,16,40,24,0.524,0.703,0.729,0.463,0.773,0.633
Changsha,Taipei,hscw,hscw,1378.5,1401.1,23.0,0.5612464507241642,0.2925817269272065,0.2687,17,40,23,0.616,0.703,0.526,0.463,0.651,0.633
Changsha,Chengdu,hscw,hscw,1378.5,1292.4,86.0,0.5612464507241642,0.3206500140272879,0.2406,17,39,22,0.616,0.683,0.526,0.514,0.651,0.587
Taipei,Nanning,hscw,hsww,1401.1,1417.5,16.0,0.2925817269272065,0.5186137525612365,0.226,40,28,12,0.703,0.518,0.463,0.449,0.633,0.561
Nanchang,Taipei,hscw,hscw,1490.7,1401.1,90.0,0.5179350572440901,0.2925817269272065,0.2254,29,40,11,0.598,0.703,0.463,0.463,0.606,0.633
Nanjing,Taipei,hscw,hscw,1456.1,1401.1,55.0,0.5178855340923061,0.2925817269272065,0.2253,30,40,10,0.477,0.703,0.528,0.463,0.655,0.633
Hefei,Taipei,hscw,hscw,1460.8,1401.1,60.0,0.5147269505050662,0.2925817269272065,0.2221,31,40,9,0.53,0.703,0.477,0.463,0.803,0.633
Harbin,Suzhou,severe_cold,cold,1424.3,1388.3,36.0,0.5649773172681742,0.3750079582701352,0.19,16,37,21,0.524,0.586,0.729,0.556,0.773,0.681
Beijing,Shanghai,cold,hscw,1578.1,1497.4,81.0,0.6279143895642323,0.4407927865080294,0.1871,8,34,26,0.727,0.602,0.505,0.511,0.638,0.622
Suzhou,Changsha,cold,hscw,1388.3,1378.5,10.0,0.3750079582701352,0.5612464507241642,0.1862,37,17,20,0.586,0.616,0.556,0.526,0.681,0.651
Hong Kong,Kunming,hsww,mild,1648.5,1650.2,2.0,0.4575454884926994,0.6408482124582222,0.1833,32,4,28,0.936,0.454,0.071,0.229,0.336,0.426
Shijiazhuang,Hong Kong,cold,hsww,1644.5,1648.5,4.0,0.6382212445498286,0.4575454884926994,0.1807,5,32,27,0.603,0.936,0.489,0.071,0.635,0.336
Haikou,Hong Kong,hsww,hsww,1728.6,1648.5,80.0,0.6367789618870444,0.4575454884926994,0.1792,6,32,26,0.351,0.936,0.395,0.071,0.517,0.336
Beijing,Hong Kong,cold,hsww,1578.1,1648.5,70.0,0.6279143895642323,0.4575454884926994,0.1704,8,32,24,0.727,0.936,0.505,0.071,0.638,0.336
Hohhot,Hong Kong,severe_cold,hsww,1685.8,1648.5,37.0,0.6261325490635676,0.4575454884926994,0.1686,9,32,23,0.931,0.936,0.571,0.071,0.679,0.336
Xiamen,Hong Kong,hsww,hsww,1661.1,1648.5,13.0,0.6260596326058684,0.4575454884926994,0.1685,10,32,22,0.356,0.936,0.535,0.071,0.471,0.336
Harbin,Fuzhou,severe_cold,hsww,1424.3,1402.1,22.0,0.5649773172681742,0.4060509373778737,0.1589,16,36,20,0.524,0.624,0.729,0.259,0.773,0.43
Xian,Shanghai,cold,hscw,1581.6,1497.4,84.0,0.5960532545280305,0.4407927865080294,0.1553,11,34,23,0.324,0.602,0.511,0.511,0.726,0.622
Changsha,Fuzhou,hscw,hsww,1378.5,1402.1,24.0,0.5612464507241642,0.4060509373778737,0.1552,17,36,19,0.616,0.624,0.526,0.259,0.651,0.43
Ningbo,Taipei,hscw,hscw,1425.1,1401.1,24.0,0.4439615412356935,0.2925817269272065,0.1514,33,40,7,0.71,0.703,0.447,0.463,0.635,0.633
