city,D1,D2,D3,D4,D5
Lhasa,1.0,0.459,0.636,0.848,0.861
Yinchuan,0.612,0.798,0.624,0.713,0.929
Shijiazhuang,0.518,0.918,0.547,0.697,0.761
Haikou,0.706,0.784,0.337,0.818,0.81
Lanzhou,0.661,0.563,0.546,0.758,0.827
Hohhot,0.523,0.768,0.54,0.74,0.747
Kunming,0.622,0.639,0.717,0.597,0.69
Xining,0.682,0.648,0.577,0.61,0.743
Xiamen,0.686,0.539,0.726,0.798,0.601
Beijing,0.516,0.694,0.715,0.611,0.693
Guangzhou,0.597,0.705,0.639,0.722,0.566
Wuhan,0.449,0.553,0.666,0.612,0.688
Harbin,0.317,0.772,0.663,0.531,0.633
Shenzhen,0.639,0.397,0.66,0.77,0.581
Changsha,0.448,0.673,0.613,0.517,0.643
Xian,0.479,0.217,0.714,0.621,0.785
Jinan,0.511,0.529,0.719,0.699,0.5
Changchun,0.382,0.432,0.683,0.643,0.695
Shenyang,0.41,0.62,0.48,0.638,0.707
Dalian,0.503,0.585,0.404,0.667,0.718
Zhengzhou,0.45,0.528,0.419,0.692,0.747
Tianjin,0.531,0.563,0.396,0.637,0.707
Wuxi,0.549,0.64,0.373,0.642,0.657
Tangshan,0.484,0.402,0.472,0.646,0.734
Nanning,0.493,0.67,0.31,0.577,0.696
Nanchang,0.483,0.55,0.358,0.649,0.704
Qingdao,0.569,0.34,0.339,0.773,0.742
Hefei,0.443,0.663,0.329,0.581,0.691
Taiyuan,0.538,0.545,0.397,0.548,0.672
Nanjing,0.527,0.526,0.654,0.575,0.46
Urumqi,0.412,0.461,0.28,0.544,0.856
Ningbo,0.405,0.573,0.293,0.509,0.577
Shanghai,0.487,0.26,0.361,0.682,0.528
Fuzhou,0.382,0.455,0.124,0.579,0.632
Hangzhou,0.393,0.572,0.346,0.328,0.477
Suzhou,0.443,0.261,0.132,0.498,0.577
Guiyang,0.131,0.925,0.238,0.071,0.336
Chengdu,0.246,0.375,0.208,0.279,0.442
Chongqing,0.0,0.44,0.027,0.041,0.302
