city,name_en,climate_zone,ghi_annual,ghi_rank,fdsi_score,fdsi_rank,rank_shift,abs_rank_shift
hongkong,Hong Kong,hsww,1648.5,11,0.4575454884926994,32,-21,21
changsha,Changsha,hscw,1378.5,37,0.5612464507241642,17,20,20
qingdao,Qingdao,cold,1678.7,7,0.532736651989759,25,-18,18
urumqi,Urumqi,severe_cold,1658.3,9,0.5311203350742477,26,-17,17
harbin,Harbin,severe_cold,1424.3,32,0.5649773172681742,16,16,16
guangzhou,Guangzhou,hsww,1502.2,26,0.5890284604396654,12,14,14
wuhan,Wuhan,hscw,1503.8,25,0.5849700721571381,13,12,12
beijing,Beijing,cold,1578.1,17,0.6279143895642323,8,9,9
dalian,Dalian,severe_cold,1615.7,13,0.5472305868990813,22,-9,9
changchun,Changchun,severe_cold,1525.0,23,0.5701261387209176,15,8,8
shenzhen,Shenzhen,hsww,1560.9,21,0.5736791073158932,14,7,7
tianjin,Tianjin,cold,1606.1,14,0.5483364819765838,21,-7,7
shanghai,Shanghai,hscw,1497.4,27,0.4407927865080294,34,-7,7
taiyuan,Taiyuan,cold,1564.4,20,0.5246581956009044,27,-7,7
shijiazhuang,Shijiazhuang,cold,1644.5,12,0.6382212445498286,5,7,7
kunming,Kunming,mild,1650.2,10,0.6408482124582222,4,6,6
taipei,Taipei,hscw,1401.1,35,0.2925817269272065,40,-5,5
nanning,Nanning,hsww,1417.5,33,0.5186137525612365,28,5,5
tangshan,Tangshan,severe_cold,1575.3,18,0.54079575239606,23,-5,5
shenyang,Shenyang,severe_cold,1523.1,24,0.5514550451974904,19,5,5
xian,Xian,cold,1581.6,16,0.5960532545280305,11,5,5
hangzhou,Hangzhou,hscw,1277.6,39,0.4068115121274874,35,4,4
xining,Xining,cold,1754.8,4,0.6345153233592646,7,-3,3
hohhot,Hohhot,severe_cold,1685.8,6,0.6261325490635676,9,-3,3
jinan,Jinan,cold,1588.8,15,0.5540062823874533,18,-3,3
guiyang,Guiyang,mild,1193.9,40,0.3218401053849994,38,2,2
hefei,Hefei,hscw,1460.8,29,0.5147269505050662,31,-2,2
fuzhou,Fuzhou,hsww,1402.1,34,0.4060509373778737,36,-2,2
ningbo,Ningbo,hscw,1425.1,31,0.4439615412356935,33,-2,2
xiamen,Xiamen,hsww,1661.1,8,0.6260596326058684,10,-2,2
wuxi,Wuxi,cold,1530.3,22,0.5329878158243317,24,-2,2
haikou,Haikou,hsww,1728.6,5,0.6367789618870444,6,-1,1
chengdu,Chengdu,hscw,1292.4,38,0.3206500140272879,39,-1,1
nanchang,Nanchang,hscw,1490.7,28,0.5179350572440901,29,-1,1
suzhou,Suzhou,cold,1388.3,36,0.3750079582701352,37,-1,1
zhengzhou,Zhengzhou,cold,1573.4,19,0.5487709733847469,20,-1,1
chongqing,Chongqing,hscw,1122.9,41,0.1752349925145734,41,0,0
nanjing,Nanjing,hscw,1456.1,30,0.5178855340923061,30,0,0
yinchuan,Yinchuan,cold,1779.1,2,0.7223757098082292,2,0,0
lanzhou,Lanzhou,cold,1755.9,3,0.6479453564032501,3,0,0
lhasa,Lhasa,mild,2131.7,1,0.7421526351435656,1,0,0
