city,name_en,climate_zone,ghi_annual,ghi_rank,fdsi_score,fdsi_rank,rooftop_area_m2,capacity_mw,specific_yield,generation_gwh_yr,co2_reduction_kt_yr,population_million,grid_ef
lhasa,Lhasa,mild,2131.7,1,0.7421526351435656,1,5606337.0,605.2,1895.2,1146.97504,630.8362720000001,0.9,0.55
yinchuan,Yinchuan,cold,1779.1,2,0.7223757098082292,2,11793809.0,1418.02,1543.4,2188.572068,1203.7146374000001,2.9,0.55
lanzhou,Lanzhou,cold,1755.9,3,0.6479453564032501,3,2003319.0,262.28,1530.2,401.340856,220.7374708,4.4,0.55
kunming,Kunming,mild,1650.2,10,0.6408482124582222,4,8957901.0,1076.04,1405.1,1511.943804,831.5690922000001,8.5,0.55
shijiazhuang,Shijiazhuang,cold,1644.5,12,0.6382212445498286,5,1231254.0,147.75,1409.6,208.2684,114.54762000000002,11.2,0.55
haikou,Haikou,hsww,1728.6,5,0.6367789618870444,6,1490864.0,183.57,1428.0,262.13796,144.175878,2.9,0.55
xining,Xining,cold,1754.8,4,0.6345153233592646,7,1626481.0,192.79,1542.9,297.455691,163.60063005,2.5,0.55
beijing,Beijing,cold,1578.1,17,0.6279143895642323,8,1591326.0,213.52,1357.9,289.938808,159.4663444,21.5,0.55
hohhot,Hohhot,severe_cold,1685.8,6,0.6261325490635676,9,1557712.0,163.86,1476.1,241.87374599999998,133.0305603,3.5,0.55
xiamen,Xiamen,hsww,1661.1,8,0.6260596326058684,10,2263586.0,277.88,1385.1,384.891588,211.69037340000003,5.3,0.55
xian,Xian,cold,1581.6,16,0.5960532545280305,11,5719079.0,688.94,1352.7,931.929138,512.5610259,13.0,0.55
guangzhou,Guangzhou,hsww,1502.2,26,0.5890284604396654,12,1123122.0,146.88,1251.8,183.864384,101.1254112,18.7,0.55
wuhan,Wuhan,hscw,1503.8,25,0.5849700721571381,13,4418707.0,502.44,1269.4,637.797336,350.78853480000004,13.7,0.55
shenzhen,Shenzhen,hsww,1560.9,21,0.5736791073158932,14,2715977.0,257.64,1298.9,334.648596,184.0567278,17.6,0.55
changchun,Changchun,severe_cold,1525.0,23,0.5701261387209176,15,2375527.0,313.23,1343.9,420.949797,231.52238835,9.1,0.55
harbin,Harbin,severe_cold,1424.3,32,0.5649773172681742,16,3554933.0,475.95,1259.4,599.41143,329.6762865,10.0,0.55
changsha,Changsha,hscw,1378.5,37,0.5612464507241642,17,1873258.0,229.46,1162.1,266.655466,146.6605063,10.5,0.55
jinan,Jinan,cold,1588.8,15,0.5540062823874533,18,1225686.0,151.69,1362.3,206.647287,113.65600785000001,9.2,0.55
shenyang,Shenyang,severe_cold,1523.1,24,0.5514550451974904,19,2708735.0,361.84,1326.1,479.83602399999995,263.9098132,9.1,0.55
zhengzhou,Zhengzhou,cold,1573.4,19,0.5487709733847469,20,1180257.0,146.31,1340.2,196.084662,107.84656410000001,12.7,0.55
tianjin,Tianjin,cold,1606.1,14,0.5483364819765838,21,1132431.0,130.99,1379.5,180.70070500000003,99.38538775000002,13.9,0.55
dalian,Dalian,severe_cold,1615.7,13,0.5472305868990813,22,6259663.0,714.9,1394.8,997.14252,548.428386,7.5,0.55
tangshan,Tangshan,severe_cold,1575.3,18,0.54079575239606,23,3606661.0,423.72,1358.8,575.750736,316.6629048,7.7,0.55
wuxi,Wuxi,cold,1530.3,22,0.5329878158243317,24,1651452.0,194.63,1296.2,252.279406,138.7536733,7.5,0.55
