city,dimension,local_I,p_value,quad,cluster
lhasa,FDSI,0.1241,0.436,HH,ns
yinchuan,FDSI,0.9146,0.041,HH,HH
shijiazhuang,FDSI,0.2288,0.317,HH,ns
haikou,FDSI,-0.1333,0.351,HL,ns
lanzhou,FDSI,-0.5241,0.118,HL,ns
hohhot,FDSI,0.6303,0.021,HH,HH
kunming,FDSI,-1.0585,0.006,HL,HL
xining,FDSI,-0.4275,0.132,HL,ns
xiamen,FDSI,-0.2259,0.234,HL,ns
beijing,FDSI,0.193,0.285,HH,ns
guangzhou,FDSI,0.2933,0.12,HH,ns
wuhan,FDSI,-0.0032,0.449,HL,ns
harbin,FDSI,0.0168,0.491,HH,ns
shenzhen,FDSI,0.1596,0.085,HH,ns
changsha,FDSI,0.0556,0.33,HH,ns
xian,FDSI,-0.0266,0.329,HL,ns
jinan,FDSI,0.0605,0.188,HH,ns
changchun,FDSI,0.0132,0.461,HH,ns
shenyang,FDSI,0.0127,0.46,HH,ns
dalian,FDSI,0.0059,0.491,HH,ns
zhengzhou,FDSI,0.0261,0.261,HH,ns
tianjin,FDSI,0.0276,0.177,HH,ns
wuxi,FDSI,-0.061,0.035,HL,HL
tangshan,FDSI,-0.0235,0.131,LH,ns
nanning,FDSI,-0.0138,0.339,LH,ns
nanchang,FDSI,0.0139,0.314,LL,ns
qingdao,FDSI,-0.0035,0.471,LH,ns
hefei,FDSI,0.0233,0.284,LL,ns
taiyuan,FDSI,-0.081,0.051,LH,ns
nanjing,FDSI,0.13,0.059,LL,ns
urumqi,FDSI,-0.1465,0.054,LH,ns
ningbo,FDSI,0.5654,0.054,LL,ns
shanghai,FDSI,0.6762,0.059,LL,ns
fuzhou,FDSI,0.5947,0.098,LL,ns
hangzhou,FDSI,0.755,0.066,LL,ns
suzhou,FDSI,0.9101,0.083,LL,ns
guiyang,FDSI,1.5102,0.034,LL,LL
chengdu,FDSI,1.2464,0.068,LL,ns
chongqing,FDSI,1.654,0.063,LL,ns
lhasa,D1_Climate,0.5994,0.247,HH,ns
yinchuan,D1_Climate,0.3722,0.105,HH,ns
shijiazhuang,D1_Climate,0.0152,0.415,HH,ns
haikou,D1_Climate,-0.2502,0.329,HL,ns
lanzhou,D1_Climate,-0.5607,0.103,HL,ns
hohhot,D1_Climate,0.0561,0.228,HH,ns
kunming,D1_Climate,-0.8581,0.014,HL,HL
xining,D1_Climate,-0.6604,0.089,HL,ns
xiamen,D1_Climate,0.0419,0.433,HH,ns
beijing,D1_Climate,0.0201,0.348,HH,ns
guangzhou,D1_Climate,0.3945,0.071,HH,ns
wuhan,D1_Climate,0.0375,0.338,LL,ns
harbin,D1_Climate,0.1541,0.304,LL,ns
shenzhen,D1_Climate,0.508,0.075,HH,ns
changsha,D1_Climate,-0.0492,0.333,LH,ns
xian,D1_Climate,0.0214,0.241,LL,ns
jinan,D1_Climate,0.0206,0.31,HH,ns
changchun,D1_Climate,0.1512,0.256,LL,ns
shenyang,D1_Climate,0.1304,0.227,LL,ns
dalian,D1_Climate,0.003,0.436,HH,ns
zhengzhou,D1_Climate,0.0019,0.487,LL,ns
tianjin,D1_Climate,0.0378,0.335,HH,ns
wuxi,D1_Climate,-0.088,0.247,HL,ns
tangshan,D1_Climate,-0.0077,0.362,LH,ns
nanning,D1_Climate,0.0,0.001,LH,LH
nanchang,D1_Climate,0.0162,0.231,LL,ns
qingdao,D1_Climate,0.0517,0.368,HH,ns
hefei,D1_Climate,0.0239,0.399,LL,ns
taiyuan,D1_Climate,0.0178,0.432,HH,ns
nanjing,D1_Climate,-0.0382,0.305,HL,ns
urumqi,D1_Climate,-0.4461,0.011,LH,LH
ningbo,D1_Climate,0.0435,0.388,LL,ns
shanghai,D1_Climate,0.0066,0.307,LL,ns
fuzhou,D1_Climate,0.0457,0.393,LL,ns
hangzhou,D1_Climate,0.0404,0.396,LL,ns
suzhou,D1_Climate,0.0389,0.349,LL,ns
guiyang,D1_Climate,1.7769,0.025,LL,LL
chengdu,D1_Climate,1.0572,0.05,LL,ns
chongqing,D1_Climate,1.9883,0.019,LL,LL
lhasa,D2_Morphology,0.1073,0.328,LL,ns
yinchuan,D2_Morphology,-0.1428,0.443,HL,ns
shijiazhuang,D2_Morphology,0.0844,0.408,HH,ns
haikou,D2_Morphology,0.8603,0.042,HH,HH
lanzhou,D2_Morphology,0.0055,0.148,LL,ns
hohhot,D2_Morphology,1.0143,0.012,HH,HH
kunming,D2_Morphology,0.1964,0.134,HH,ns
xining,D2_Morphology,-0.2591,0.107,HL,ns
xiamen,D2_Morphology,0.0278,0.354,LL,ns
beijing,D2_Morphology,0.122,0.341,HH,ns
guangzhou,D2_Morphology,0.2396,0.245,HH,ns
wuhan,D2_Morphology,-0.01,0.369,LH,ns
harbin,D2_Morphology,-0.6679,0.108,HL,ns
shenzhen,D2_Morphology,-0.6625,0.064,LH,ns
changsha,D2_Morphology,0.0328,0.444,HH,ns
xian,D2_Morphology,-0.121,0.493,LH,ns
jinan,D2_Morphology,-0.0238,0.392,LH,ns
changchun,D2_Morphology,0.1029,0.372,LL,ns
shenyang,D2_Morphology,-0.1168,0.207,HL,ns
dalian,D2_Morphology,-0.0533,0.144,HL,ns
zhengzhou,D2_Morphology,-0.1027,0.132,LH,ns
tianjin,D2_Morphology,-0.0009,0.424,LH,ns
wuxi,D2_Morphology,-0.3427,0.037,HL,HL
tangshan,D2_Morphology,-0.5461,0.097,LH,ns
nanning,D2_Morphology,0.4727,0.029,HH,HH
nanchang,D2_Morphology,-0.0048,0.456,LH,ns
qingdao,D2_Morphology,0.3594,0.234,LL,ns
hefei,D2_Morphology,0.0107,0.464,HH,ns
taiyuan,D2_Morphology,-0.0891,0.033,LH,LH
nanjing,D2_Morphology,0.1217,0.104,LL,ns
urumqi,D2_Morphology,-0.0129,0.499,LH,ns
ningbo,D2_Morphology,-0.032,0.058,HL,ns
shanghai,D2_Morphology,0.5599,0.2,LL,ns
fuzhou,D2_Morphology,0.2634,0.172,LL,ns
hangzhou,D2_Morphology,-0.0279,0.065,HL,ns
suzhou,D2_Morphology,0.5603,0.204,LL,ns
guiyang,D2_Morphology,-0.0751,0.494,HL,ns
chengdu,D2_Morphology,0.0576,0.428,LL,ns
chongqing,D2_Morphology,-0.0028,0.493,LH,ns
lhasa,D3_Technical,-0.0121,0.48,HL,ns
yinchuan,D3_Technical,0.3672,0.123,HH,ns
shijiazhuang,D3_Technical,0.1307,0.209,HH,ns
haikou,D3_Technical,-0.0849,0.399,LH,ns
lanzhou,D3_Technical,-0.081,0.332,HL,ns
hohhot,D3_Technical,0.132,0.193,HH,ns
kunming,D3_Technical,-1.6552,0.001,HL,HL
xining,D3_Technical,-0.1317,0.309,HL,ns
xiamen,D3_Technical,-0.3009,0.327,HL,ns
beijing,D3_Technical,0.2551,0.276,HH,ns
guangzhou,D3_Technical,0.2835,0.208,HH,ns
wuhan,D3_Technical,0.0342,0.442,HH,ns
harbin,D3_Technical,0.039,0.434,HH,ns
shenzhen,D3_Technical,0.2964,0.213,HH,ns
changsha,D3_Technical,0.2451,0.203,HH,ns
xian,D3_Technical,-0.4396,0.238,HL,ns
jinan,D3_Technical,0.1745,0.335,HH,ns
changchun,D3_Technical,0.0196,0.452,HH,ns
shenyang,D3_Technical,0.0141,0.293,HH,ns
dalian,D3_Technical,-0.0227,0.443,LH,ns
zhengzhou,D3_Technical,-0.085,0.23,LH,ns
tianjin,D3_Technical,-0.1774,0.139,LH,ns
wuxi,D3_Technical,0.2882,0.092,LL,ns
tangshan,D3_Technical,0.009,0.143,HH,ns
nanning,D3_Technical,-0.2153,0.294,LH,ns
nanchang,D3_Technical,-0.0269,0.471,LH,ns
qingdao,D3_Technical,-0.2139,0.255,LH,ns
hefei,D3_Technical,-0.0423,0.466,LH,ns
taiyuan,D3_Technical,-0.2325,0.069,LH,ns
nanjing,D3_Technical,-0.8099,0.028,HL,HL
urumqi,D3_Technical,-0.2561,0.295,LH,ns
ningbo,D3_Technical,0.4539,0.12,LL,ns
shanghai,D3_Technical,0.3175,0.096,LL,ns
fuzhou,D3_Technical,0.9121,0.098,LL,ns
hangzhou,D3_Technical,0.3519,0.101,LL,ns
suzhou,D3_Technical,0.5758,0.173,LL,ns
guiyang,D3_Technical,0.585,0.117,LL,ns
chengdu,D3_Technical,0.1408,0.351,LL,ns
chongqing,D3_Technical,-0.3576,0.412,LH,ns
lhasa,D4_Economic,-0.362,0.257,HL,ns
yinchuan,D4_Economic,0.2004,0.244,HH,ns
shijiazhuang,D4_Economic,0.1143,0.353,HH,ns
haikou,D4_Economic,-0.5074,0.166,HL,ns
lanzhou,D4_Economic,-0.7776,0.043,HL,HL
hohhot,D4_Economic,0.1833,0.321,HH,ns
kunming,D4_Economic,0.0373,0.005,LL,LL
xining,D4_Economic,-0.0336,0.075,HL,ns
xiamen,D4_Economic,0.0527,0.485,HH,ns
beijing,D4_Economic,0.0138,0.326,HH,ns
guangzhou,D4_Economic,0.38,0.061,HH,ns
wuhan,D4_Economic,0.0004,0.423,HH,ns
harbin,D4_Economic,-0.1694,0.165,LH,ns
shenzhen,D4_Economic,0.4774,0.077,HH,ns
changsha,D4_Economic,-0.1843,0.209,LH,ns
xian,D4_Economic,-0.0332,0.215,HL,ns
jinan,D4_Economic,0.2319,0.152,HH,ns
changchun,D4_Economic,0.0684,0.28,HH,ns
shenyang,D4_Economic,0.0614,0.275,HH,ns
dalian,D4_Economic,0.1684,0.129,HH,ns
zhengzhou,D4_Economic,0.0781,0.409,HH,ns
tianjin,D4_Economic,0.099,0.107,HH,ns
wuxi,D4_Economic,-0.1124,0.133,HL,ns
tangshan,D4_Economic,0.09,0.224,HH,ns
nanning,D4_Economic,0.0049,0.39,LL,ns
nanchang,D4_Economic,-0.0456,0.293,HL,ns
qingdao,D4_Economic,0.2477,0.31,HH,ns
hefei,D4_Economic,0.0277,0.257,LL,ns
taiyuan,D4_Economic,-0.1543,0.098,LH,ns
nanjing,D4_Economic,0.0491,0.213,LL,ns
urumqi,D4_Economic,-0.077,0.375,LH,ns
ningbo,D4_Economic,0.1749,0.199,LL,ns
shanghai,D4_Economic,-0.245,0.122,HL,ns
fuzhou,D4_Economic,0.0341,0.245,LL,ns
hangzhou,D4_Economic,0.1861,0.281,LL,ns
suzhou,D4_Economic,0.1881,0.205,LL,ns
guiyang,D4_Economic,3.5342,0.003,LL,LL
chengdu,D4_Economic,1.9827,0.014,LL,LL
chongqing,D4_Economic,3.4568,0.005,LL,LL
lhasa,D5_Uncertainty,0.5645,0.154,HH,ns
yinchuan,D5_Uncertainty,1.3792,0.016,HH,HH
shijiazhuang,D5_Uncertainty,0.0242,0.499,HH,ns
haikou,D5_Uncertainty,-0.7666,0.066,HL,ns
lanzhou,D5_Uncertainty,-0.1721,0.366,HL,ns
hohhot,D5_Uncertainty,0.437,0.038,HH,HH
kunming,D5_Uncertainty,-0.2334,0.015,HL,HL
xining,D5_Uncertainty,-0.0106,0.448,HL,ns
xiamen,D5_Uncertainty,0.2107,0.114,LL,ns
beijing,D5_Uncertainty,0.0278,0.431,HH,ns
guangzhou,D5_Uncertainty,-0.0342,0.498,LH,ns
wuhan,D5_Uncertainty,-0.0159,0.403,HL,ns
harbin,D5_Uncertainty,-0.0845,0.172,LH,ns
shenzhen,D5_Uncertainty,-0.0161,0.473,LH,ns
changsha,D5_Uncertainty,0.0117,0.385,LL,ns
xian,D5_Uncertainty,0.2427,0.285,HH,ns
jinan,D5_Uncertainty,-0.5811,0.143,LH,ns
changchun,D5_Uncertainty,0.0906,0.23,HH,ns
shenyang,D5_Uncertainty,0.115,0.242,HH,ns
dalian,D5_Uncertainty,0.0586,0.409,HH,ns
zhengzhou,D5_Uncertainty,0.0143,0.492,HH,ns
tianjin,D5_Uncertainty,0.068,0.354,HH,ns
wuxi,D5_Uncertainty,0.0171,0.015,LL,LL
tangshan,D5_Uncertainty,0.0658,0.408,HH,ns
nanning,D5_Uncertainty,-0.1232,0.136,HL,ns
nanchang,D5_Uncertainty,-0.0875,0.264,HL,ns
qingdao,D5_Uncertainty,-0.1575,0.278,HL,ns
hefei,D5_Uncertainty,-0.1054,0.139,HL,ns
taiyuan,D5_Uncertainty,0.0205,0.34,HH,ns
nanjing,D5_Uncertainty,0.7838,0.088,LL,ns
urumqi,D5_Uncertainty,1.0648,0.025,HH,HH
ningbo,D5_Uncertainty,0.5277,0.026,LL,LL
shanghai,D5_Uncertainty,0.7727,0.036,LL,LL
fuzhou,D5_Uncertainty,0.1058,0.098,LL,ns
hangzhou,D5_Uncertainty,0.973,0.045,LL,LL
suzhou,D5_Uncertainty,0.5277,0.031,LL,LL
guiyang,D5_Uncertainty,1.8155,0.023,LL,LL
chengdu,D5_Uncertainty,0.8313,0.087,LL,ns
chongqing,D5_Uncertainty,1.5352,0.043,LL,LL
