city_key,city,lat,lon,fdsi_score,lisa_Is,lisa_p,lisa_quad,lisa_cluster
lhasa,Lhasa,29.65,91.11,0.7556,0.12410694149593524,0.436,HH,ns
yinchuan,Yinchuan,38.49,106.23,0.7533,0.914588355938153,0.041,HH,HH
shijiazhuang,Shijiazhuang,38.04,114.5,0.6937,0.22877198032467333,0.317,HH,ns
haikou,Haikou,20.04,110.32,0.6831,-0.13325867247674503,0.351,HL,ns
lanzhou,Lanzhou,36.06,103.83,0.6758,-0.5241260458631448,0.118,HL,ns
hohhot,Hohhot,40.84,111.75,0.6656,0.6303071262652831,0.021,HH,HH
kunming,Kunming,25.04,102.68,0.6623,-1.0585265763941432,0.006,HL,HL
xining,Xining,36.62,101.78,0.6599,-0.42746632479817886,0.132,HL,ns
xiamen,Xiamen,24.48,118.09,0.6566,-0.22587397550545818,0.234,HL,ns
beijing,Beijing,39.9,116.4,0.6565,0.192999380652347,0.285,HH,ns
guangzhou,Guangzhou,23.13,113.27,0.6348,0.29333602081674665,0.12,HH,ns
wuhan,Wuhan,30.58,114.3,0.6059,-0.003158948838803021,0.449,HL,ns
harbin,Harbin,45.75,126.65,0.5988,0.016841543871398367,0.491,HH,ns
shenzhen,Shenzhen,22.54,114.06,0.597,0.15957091052084774,0.085,HH,ns
changsha,Changsha,28.23,112.94,0.5921,0.055615426978230395,0.33,HH,ns
xian,Xian,34.26,108.94,0.5846,-0.026610869255404585,0.329,HL,ns
jinan,Jinan,36.65,116.99,0.5814,0.060495372696680046,0.188,HH,ns
changchun,Changchun,43.88,125.32,0.5802,0.013151828815985426,0.461,HH,ns
shenyang,Shenyang,41.8,123.43,0.5792,0.0126607811336383,0.46,HH,ns
dalian,Dalian,38.91,121.61,0.5787,0.005878258247627315,0.491,HH,ns
zhengzhou,Zhengzhou,34.75,113.65,0.5731,0.026108274110779758,0.261,HH,ns
tianjin,Tianjin,39.08,117.2,0.5707,0.027647648290836376,0.177,HH,ns
wuxi,Wuxi,31.49,120.31,0.5702,-0.06100027662689852,0.035,HL,HL
tangshan,Tangshan,39.63,118.18,0.5566,-0.023490355997676897,0.131,LH,ns
nanning,Nanning,22.82,108.37,0.555,-0.013838529510380032,0.339,LH,ns
nanchang,Nanchang,28.68,115.86,0.552,0.013903838189449914,0.314,LL,ns
qingdao,Qingdao,36.07,120.38,0.5486,-0.003543872789285197,0.471,LH,ns
hefei,Hefei,31.82,117.23,0.5482,0.023278667837920625,0.284,LL,ns
taiyuan,Taiyuan,37.87,112.55,0.5473,-0.08101662070088232,0.051,LH,ns
nanjing,Nanjing,32.06,118.77,0.542,0.13004095695984427,0.059,LL,ns
urumqi,Urumqi,43.83,87.61,0.5348,-0.14652364504049392,0.054,LH,ns
ningbo,Ningbo,29.87,121.55,0.4748,0.565398548340887,0.054,LL,ns
shanghai,Shanghai,31.23,121.47,0.4517,0.6761984095477486,0.059,LL,ns
fuzhou,Fuzhou,26.07,119.3,0.435,0.5946906395532133,0.098,LL,ns
hangzhou,Hangzhou,30.27,120.15,0.4328,0.7549994672847088,0.066,LL,ns
suzhou,Suzhou,31.3,120.62,0.3836,0.9101009267437129,0.083,LL,ns
guiyang,Guiyang,26.65,106.63,0.3594,1.5101908412167795,0.034,LL,LL
chengdu,Chengdu,30.67,104.07,0.3225,1.246449337785053,0.068,LL,ns
chongqing,Chongqing,29.56,106.55,0.1823,1.6539941722218823,0.063,LL,ns
